nfe_id,dh_emissao,modelo,serie,numero,emitente_id,destinatario_id,uf_origem,uf_destino,status,frete,desconto,outros,total_produtos,v_icms,v_pis,v_cofins,v_ipi,total_nfe
15,2025-12-30,55,4,65238,1,2236,MG,MG,AUTORIZADA,23.47,38.32,11.98,2336.24,420.52,38.55,177.55,0.0,2333.37
16,2025-11-20,65,4,67067,12,2499,CE,RS,AUTORIZADA,0.0,30.59,41.64,23172.5,4171.0599999999995,382.34999999999997,1761.1100000000001,0.0,23183.55
17,2025-03-08,55,2,82345,4,1178,DF,MG,AUTORIZADA,17.01,112.88,7.16,7673.63,1381.26,126.61,583.2,0.0,7584.92
18,2025-07-02,65,5,78791,17,510,RJ,MG,CANCELADA,0.0,14.1,24.06,0.0,0.0,0.0,0.0,0.0,9.96
19,2025-05-20,55,1,99244,17,3654,RJ,CE,AUTORIZADA,104.59,11.05,0.08,22281.86,4010.73,367.66,1693.42,274.93,22650.41
20,2025-01-09,55,2,82040,10,3613,DF,MG,AUTORIZADA,11.52,47.74,20.41,33295.83,5993.26,549.39,2530.48,647.2499999999999,33927.27
21,2025-03-04,55,1,85457,11,2974,SP,CE,AUTORIZADA,151.83,66.82,32.13,5013.76,902.48,82.73,381.05,100.28,5231.18
22,2025-08-24,55,3,35154,4,3959,DF,BA,AUTORIZADA,21.81,71.99,46.15,35437.51,6378.75,584.72,2693.25,87.06,35520.54
23,2025-09-15,55,3,37885,5,4073,PE,RS,AUTORIZADA,176.82,76.53,17.15,19580.84,3524.55,323.09,1488.1499999999999,0.0,19698.28
24,2025-06-17,55,1,47260,25,1410,CE,BA,AUTORIZADA,13.03,97.68,27.29,11764.89,2117.68,194.13,894.14,82.02,11789.55
25,2025-11-18,55,1,97271,8,54,SC,GO,AUTORIZADA,158.86,58.53,40.79,29411.69,4999.99,485.3,2235.2799999999997,126.53,29679.34
26,2025-07-26,55,1,35503,1,246,MG,DF,AUTORIZADA,31.13,102.76,58.87,23094.38,4156.99,381.06,1755.18,0.0,23081.62
27,2025-12-30,55,5,28022,23,722,MG,PR,AUTORIZADA,20.62,15.38,13.23,14342.66,2725.1099999999997,236.65,1090.04,96.32,14457.45
28,2025-07-28,55,2,45614,10,847,DF,PE,AUTORIZADA,62.66,28.76,30.3,31209.45,5617.71,514.9599999999999,2371.92,730.82,32004.47
29,2025-10-02,55,1,35763,20,3039,MG,CE,AUTORIZADA,52.56,42.3,0.84,12271.03,2208.78,202.47,932.6,0.0,12282.13
30,2025-12-23,55,5,75515,5,1426,PE,SC,AUTORIZADA,39.51,83.57,19.04,28697.75,4878.61,473.52,2181.0299999999997,0.0,28672.73
31,2025-10-10,55,4,92218,23,3906,MG,PR,AUTORIZADA,118.53,77.38,0.6,7358.119999999999,1398.04,121.41,559.22,87.12,7486.99
32,2025-06-18,55,1,79667,8,511,SC,PR,AUTORIZADA,109.18,87.7,9.13,35002.32,6650.46,577.54,2660.17,1341.8700000000001,36374.8
33,2025-02-17,55,1,77212,21,1051,PE,PE,AUTORIZADA,66.99,9.97,16.33,29371.739999999998,5286.9,484.62,2232.24,759.35,30204.44
34,2025-02-18,55,3,37833,16,3600,PR,PE,AUTORIZADA,117.7,49.09,24.43,2887.22,519.7,47.64,219.43,144.36,3124.62
35,2025-06-26,65,2,96627,14,4033,PE,DF,AUTORIZADA,0.0,73.18,22.95,25919.33,4665.48,427.65999999999997,1969.8700000000001,386.01,26255.11
36,2025-10-06,55,1,67590,10,954,DF,DF,AUTORIZADA,113.35,98.4,9.83,31773.11,5719.17,524.26,2414.76,290.14,32088.03
37,2025-04-08,65,5,15333,24,2590,SP,PR,AUTORIZADA,0.0,60.18,58.58,24967.17,4743.76,411.96000000000004,1897.51,0.0,24965.57
38,2025-04-12,55,2,69140,9,1694,BA,PR,AUTORIZADA,2.16,105.31,19.97,38868.02,7384.92,641.33,2953.9700000000003,361.27,39146.11
39,2025-12-27,55,1,60108,2,1852,BA,SP,AUTORIZADA,110.76,79.17,15.93,18991.67,3418.5,313.37,1443.37,109.62,19148.81
40,2025-01-09,55,4,36396,1,2384,MG,RJ,AUTORIZADA,85.12,77.9,50.91,18502.03,3700.41,305.29,1406.15,577.78,19137.94
41,2025-07-08,55,2,49776,5,2569,PE,SP,AUTORIZADA,48.07,71.08,49.27,24962.93,4493.33,411.88,1897.1799999999998,803.2700000000001,25792.46
42,2025-05-11,65,4,88280,3,788,MG,BA,AUTORIZADA,0.0,26.15,4.51,10948.580000000002,1970.75,180.64999999999998,832.09,137.15,11064.09
43,2025-04-23,55,3,37248,15,1543,MG,PR,AUTORIZADA,177.01,6.58,19.52,17552.4,3334.96,289.62,1333.98,0.0,17742.35
44,2026-01-18,65,1,74997,1,2981,MG,BA,AUTORIZADA,0.0,10.4,40.6,16423.69,2956.27,270.99,1248.2,44.57,16498.46
45,2025-10-12,55,2,88306,1,2055,MG,DF,AUTORIZADA,139.92,5.78,8.6,24827.129999999997,4468.889999999999,409.64,1886.8600000000001,481.91,25451.78
46,2025-10-02,55,1,15527,18,350,SC,MG,AUTORIZADA,71.81,30.33,57.0,13177.279999999999,2371.91,217.43,1001.47,46.28,13322.04
47,2025-07-09,65,1,89604,16,2130,PR,CE,AUTORIZADA,0.0,107.33,0.98,718.75,129.38,11.86,54.62,0.0,612.4
48,2025-05-13,55,2,48214,18,3847,SC,SP,AUTORIZADA,62.3,69.3,25.6,15383.8,2769.09,253.83,1169.1599999999999,65.55,15467.95
49,2025-02-01,65,1,19388,19,2060,GO,RJ,AUTORIZADA,0.0,10.62,34.67,30069.7,6013.93,496.15,2285.29,266.63,30360.38
50,2025-02-17,55,1,28203,11,2407,SP,SC,AUTORIZADA,62.1,91.76,31.37,8211.98,1396.03,135.5,624.12,13.48,8227.17
51,2025-02-06,65,1,33186,9,1910,BA,RJ,AUTORIZADA,0.0,108.18,1.4,5616.52,1123.3,92.67,426.86,112.33,5622.07
52,2025-07-21,55,5,45730,20,1696,MG,RJ,AUTORIZADA,13.07,118.54,3.54,5144.22,1028.8400000000001,84.88,390.96,96.84,5139.13
53,2025-03-15,55,4,22042,2,341,BA,SC,AUTORIZADA,25.69,88.65,46.46,31239.309999999998,5310.68,515.45,2374.19,66.23,31289.04
54,2025-01-30,65,5,50572,1,1972,MG,CE,AUTORIZADA,0.0,37.63,19.25,19413.47,3494.43,320.32,1475.43,683.39,20078.48
55,2025-05-29,65,2,58124,22,1014,PE,GO,AUTORIZADA,0.0,33.17,16.62,1730.94,294.26,28.56,131.55,0.0,1714.39
56,2025-06-26,65,5,25927,4,3523,DF,CE,AUTORIZADA,0.0,91.31,52.56,20342.93,3661.7200000000003,335.66,1546.06,424.5,20728.68
57,2025-09-23,55,1,85469,20,3989,MG,PE,AUTORIZADA,107.67,84.59,14.1,14231.71,2561.7200000000003,234.82999999999998,1081.6100000000001,297.96,14566.85
58,2025-06-18,55,5,60656,16,919,PR,CE,AUTORIZADA,143.27,51.9,0.63,34219.77,6159.55,564.63,2600.69,0.0,34311.77
59,2025-06-14,55,4,36148,8,240,SC,PE,AUTORIZADA,78.8,79.53,31.09,38807.75,6985.389999999999,640.33,2949.38,2259.77,41097.88
60,2025-06-12,55,4,20991,16,2129,PR,RS,AUTORIZADA,130.98,51.55,50.62,24222.6,4360.06,399.67,1840.91,206.4,24559.05
61,2025-04-18,65,5,96187,18,876,SC,MG,AUTORIZADA,0.0,83.08,3.49,26726.350000000002,4810.74,440.99,2031.21,458.34999999999997,27105.11
62,2025-03-21,55,4,81240,21,244,PE,DF,AUTORIZADA,91.68,80.93,7.66,9769.67,1758.54,161.19,742.49,33.31,9821.39
63,2025-06-05,55,3,39722,16,3272,PR,CE,AUTORIZADA,64.02,39.79,37.68,574.43,103.4,9.48,43.66,0.0,636.34
64,2025-04-16,65,3,27918,3,3728,MG,SP,AUTORIZADA,0.0,41.3,7.66,13478.57,2426.14,222.4,1024.37,216.12,13661.05
65,2025-12-18,65,1,99768,24,2736,SP,GO,DENEGADA,0.0,24.86,19.05,2747.25,467.03,45.33,208.79,137.36,2878.8
66,2025-01-01,55,5,47250,21,1937,PE,MG,AUTORIZADA,11.94,79.64,41.16,3618.28,651.29,59.7,274.99,0.0,3591.74
67,2025-08-26,55,2,97884,13,282,PE,PR,AUTORIZADA,4.77,95.64,6.68,2980.76,566.34,49.18,226.54,0.0,2896.57
68,2025-04-18,55,3,51632,15,2164,MG,GO,AUTORIZADA,82.53,114.83,3.63,2999.08,509.84,49.48,227.93,0.0,2970.41
69,2025-04-21,55,2,56129,3,2785,MG,SP,CANCELADA,8.05,39.83,38.55,0.0,0.0,0.0,0.0,0.0,6.77
70,2025-10-30,55,3,47812,16,3843,PR,PR,AUTORIZADA,75.95,11.7,19.29,32488.56,6172.82,536.0699999999999,2469.1299999999997,683.2,33255.3
71,2025-08-30,55,2,17768,13,2837,PE,PR,AUTORIZADA,159.71,102.97,3.83,31958.96,6072.21,527.3199999999999,2428.88,155.68,32175.21
72,2025-06-07,55,3,86536,3,31,MG,RJ,AUTORIZADA,23.04,94.23,55.3,27778.54,5555.71,458.34,2111.17,0.0,27762.65
73,2025-05-30,65,2,95579,12,258,CE,DF,AUTORIZADA,0.0,95.05,58.25,15397.95,2771.62,254.07,1170.24,0.0,15361.15
74,2025-10-19,55,5,33261,1,1226,MG,SP,AUTORIZADA,112.48,46.8,43.11,2144.72,386.05,35.39,163.0,42.89,2296.4
75,2025-10-30,65,5,33718,9,2492,BA,BA,AUTORIZADA,0.0,93.54,25.8,20498.47,3689.72,338.22999999999996,1557.88,291.81,20722.54
76,2025-03-31,55,4,55076,5,2968,PE,SP,AUTORIZADA,106.36,43.54,4.34,17889.34,3220.08,295.18,1359.6,0.0,17956.5
77,2025-12-29,55,5,85255,5,292,PE,SC,AUTORIZADA,135.22,55.88,0.77,17303.43,2941.58,285.5,1315.0700000000002,578.44,17961.98
78,2025-03-11,55,5,16141,18,2723,SC,CE,CANCELADA,0.5,72.54,5.15,0.0,0.0,0.0,0.0,0.0,-66.89
79,2025-08-09,65,5,83739,19,1603,GO,MG,AUTORIZADA,0.0,7.78,30.34,22065.579999999998,3971.81,364.08,1676.98,498.88,22587.02
80,2025-12-10,55,4,44800,6,3049,RJ,PR,AUTORIZADA,31.39,17.46,51.28,24946.28,4739.79,411.62,1895.9199999999998,0.0,25011.49
81,2025-11-01,55,3,73292,7,314,DF,MG,CANCELADA,30.15,73.52,2.15,0.0,0.0,0.0,0.0,0.0,-41.22
82,2025-01-18,55,1,12473,13,216,PE,SP,AUTORIZADA,51.89,60.25,53.41,20923.59,3766.24,345.24,1590.19,591.34,21559.98
83,2025-01-17,55,4,84048,5,3514,PE,GO,AUTORIZADA,96.04,15.82,7.41,15053.3,2559.07,248.39,1144.0600000000002,69.08,15210.01
84,2025-03-24,55,4,68954,17,3259,RJ,SC,AUTORIZADA,9.56,90.72,40.99,43257.45,7353.780000000001,713.75,3287.57,55.8,43273.08
85,2025-10-14,55,3,17878,14,586,PE,CE,AUTORIZADA,92.99,3.6,52.72,37282.25,6710.8099999999995,615.15,2833.45,361.83000000000004,37786.19
86,2025-01-04,55,1,66275,13,2008,PE,PR,AUTORIZADA,90.92,2.83,5.38,14935.4,2837.73,246.43,1135.09,509.63,15538.5
87,2025-04-20,65,2,43732,16,1264,PR,CE,AUTORIZADA,0.0,63.05,41.42,10408.380000000001,1873.51,171.73000000000002,791.03,113.7,10500.45
88,2025-06-17,65,2,57826,15,2445,MG,GO,AUTORIZADA,0.0,76.72,35.99,16279.7,2767.55,268.62,1237.26,0.0,16238.97
89,2025-04-16,55,1,78235,12,2009,CE,DF,CANCELADA,89.59,45.46,26.02,0.0,0.0,0.0,0.0,0.0,70.15
90,2025-12-11,55,4,94593,18,2128,SC,MG,AUTORIZADA,80.97,75.02,30.69,23004.5,4140.8,379.58,1748.35,116.61,23157.75
91,2025-12-07,55,4,89507,14,2861,PE,BA,AUTORIZADA,99.71,101.09,38.37,12814.14,2306.54,211.43,973.87,0.0,12851.13
92,2025-06-13,55,4,63298,5,1239,PE,RJ,AUTORIZADA,6.2,91.43,27.26,24044.8,4808.96,396.74,1827.4,300.62,24287.45
93,2025-02-27,55,5,68684,17,3849,RJ,GO,AUTORIZADA,5.32,16.81,0.53,3839.25,652.67,63.35,291.78,0.0,3828.29
94,2025-06-02,55,1,98040,15,3270,MG,BA,AUTORIZADA,32.48,28.68,43.18,5916.8,1065.02,97.63,449.68,0.0,5963.78
95,2025-09-14,55,1,60520,9,1868,BA,SP,AUTORIZADA,167.58,67.6,9.34,10872.93,1957.13,179.4,826.3399999999999,173.17,11155.42
96,2025-01-02,65,1,30528,21,2800,PE,RS,AUTORIZADA,0.0,68.7,9.8,2185.62,393.41,36.06,166.11,43.71,2170.43
97,2025-02-13,55,2,90666,20,3122,MG,BA,AUTORIZADA,3.64,5.12,52.79,3125.95,562.67,51.58,237.57,0.0,3177.26
98,2025-02-18,65,1,55596,11,3970,SP,GO,AUTORIZADA,0.0,95.77,55.75,35457.9,6027.85,585.07,2694.7999999999997,357.86,35775.74
99,2025-10-15,55,1,35487,4,3879,DF,DF,AUTORIZADA,25.08,98.18,2.41,14815.57,2666.81,244.46,1125.98,88.78,14833.66
100,2025-11-13,55,3,96382,22,3655,PE,SP,AUTORIZADA,124.84,62.91,54.63,5360.85,964.9599999999999,88.46000000000001,407.42,0.0,5477.41
101,2025-10-11,55,5,98277,9,741,BA,DF,AUTORIZADA,43.48,107.3,34.4,4348.4,782.72,71.75,330.48,41.45,4360.43
102,2025-05-14,55,4,16969,2,1803,BA,GO,CANCELADA,150.24,1.33,37.85,0.0,0.0,0.0,0.0,0.0,186.76
103,2025-01-03,55,2,70355,8,284,SC,CE,DENEGADA,69.63,117.59,45.41,0.0,0.0,0.0,0.0,0.0,-2.55
104,2026-01-11,55,5,22862,1,3723,MG,RJ,AUTORIZADA,24.6,87.46,16.45,4135.08,827.02,68.23,314.26,0.0,4088.67
105,2025-03-09,65,4,10781,6,3150,RJ,CE,AUTORIZADA,0.0,6.99,22.84,18402.36,3312.4300000000003,303.63,1398.5900000000001,33.61,18451.82
106,2025-11-07,65,1,29862,18,1403,SC,PE,AUTORIZADA,0.0,65.08,9.31,31500.95,5670.17,519.77,2394.08,327.51,31772.69
107,2025-02-22,55,4,65320,7,91,DF,RS,AUTORIZADA,52.25,5.96,30.41,15695.509999999998,2825.2,258.98,1192.8600000000001,412.48,16184.69
108,2025-12-20,55,2,72437,19,2639,GO,PR,AUTORIZADA,156.54,67.03,57.66,6931.66,1317.02,114.38,526.8,22.34,7101.17
109,2025-06-13,55,3,66370,12,1441,CE,SP,AUTORIZADA,122.5,24.53,22.98,12082.19,2174.8,199.35999999999999,918.25,146.33,12349.47
110,2025-05-25,55,5,36689,9,95,BA,RJ,AUTORIZADA,104.51,96.71,35.62,2545.2,509.03999999999996,42.0,193.43,83.95,2672.57
111,2025-05-11,55,5,34095,11,3306,SP,SC,AUTORIZADA,91.04,97.91,12.73,579.07,98.44,9.55,44.01,0.0,584.93
112,2025-06-15,55,2,57427,5,311,PE,PR,AUTORIZADA,86.08,88.64,52.7,18834.059999999998,3578.4700000000003,310.77,1431.3899999999999,212.39,19096.59
113,2025-10-28,55,2,92287,18,3588,SC,SC,AUTORIZADA,20.06,50.88,36.48,4807.53,817.28,79.32,365.37,0.0,4813.19
114,2025-08-17,65,4,42770,20,2544,MG,PR,AUTORIZADA,0.0,79.28,4.53,12639.48,2401.51,208.54,960.5999999999999,237.26999999999998,12802.0
115,2025-02-18,55,2,53515,23,2477,MG,RS,AUTORIZADA,24.05,103.29,39.28,14419.43,2595.4900000000002,237.91,1095.8700000000001,162.79999999999998,14542.27
116,2025-09-15,55,2,31443,15,1204,MG,SC,AUTORIZADA,36.54,27.71,10.5,19944.12,3390.5,329.08,1515.75,217.41,20180.86
117,2025-09-15,55,5,73008,16,3927,PR,SP,AUTORIZADA,84.74,46.66,28.76,11747.93,2114.63,193.84,892.85,0.0,11814.77
118,2025-04-15,55,2,99914,21,2928,PE,MG,AUTORIZADA,142.06,45.44,48.41,34732.95,6251.92,573.1,2639.71,379.51,35257.49
119,2025-08-26,55,4,76964,24,1712,SP,PE,AUTORIZADA,103.05,70.24,46.31,22784.42,4101.1900000000005,375.95,1731.6,107.93,22971.47
120,2025-02-27,55,3,47603,19,1667,GO,SP,AUTORIZADA,148.21,28.84,19.79,4279.5,770.31,70.61,325.24,85.59,4504.25
121,2025-03-15,55,5,26183,20,859,MG,PR,AUTORIZADA,110.63,48.78,49.63,35928.4,6826.4,592.8199999999999,2730.55,360.12,36400.0
122,2025-08-11,55,3,91136,19,3021,GO,SP,AUTORIZADA,110.85,15.67,15.44,5531.570000000001,995.6800000000001,91.27000000000001,420.4,84.05,5726.24
123,2025-09-14,55,2,90697,16,4095,PR,PR,AUTORIZADA,34.73,105.19,41.75,30153.120000000003,5729.08,497.53,2291.63,683.47,30807.88
124,2025-12-27,55,5,87801,5,1873,PE,CE,AUTORIZADA,118.37,100.73,14.12,21939.13,3949.04,361.99,1667.37,532.59,22503.48
125,2025-05-08,55,5,22070,14,2318,PE,PE,AUTORIZADA,39.88,73.51,37.43,15245.43,2744.18,251.54000000000002,1158.65,253.22,15502.45
126,2025-08-04,65,3,15624,8,4014,SC,SC,CANCELADA,0.0,38.66,30.74,0.0,0.0,0.0,0.0,0.0,-7.92
127,2025-04-26,55,5,13699,17,990,RJ,CE,AUTORIZADA,125.15,51.54,31.5,5372.219999999999,967.0,88.65,408.28,0.0,5477.33
128,2025-08-07,55,4,28549,18,894,SC,PR,AUTORIZADA,178.1,67.81,3.08,13969.1,2654.13,230.49,1061.65,166.82000000000002,14249.29
129,2025-05-18,65,4,18177,10,2514,DF,PR,AUTORIZADA,0.0,32.05,22.04,13415.41,2548.9300000000003,221.36,1019.5699999999999,241.25,13646.65
130,2025-06-11,55,5,35497,18,545,SC,GO,AUTORIZADA,25.25,19.35,49.91,2663.4799999999996,452.79999999999995,43.95,202.42000000000002,0.0,2719.29
131,2025-06-18,65,3,64914,24,908,SP,PE,AUTORIZADA,0.0,39.39,10.62,23420.25,4215.63,386.44,1779.92,219.42,23610.9
132,2025-03-16,65,2,51269,24,2560,SP,MG,AUTORIZADA,0.0,4.72,51.61,8460.32,1522.86,139.6,642.98,0.0,8507.21
133,2025-03-28,55,3,18958,11,838,SP,BA,AUTORIZADA,104.44,70.26,57.07,14594.94,2627.0899999999997,240.82,1109.2199999999998,66.2,14752.39
134,2025-06-07,55,3,15476,23,1712,MG,PE,AUTORIZADA,100.32,4.9,13.56,26801.75,4824.34,442.23,2036.9300000000003,38.26,26948.99
135,2026-01-06,55,3,70237,14,2884,PE,RS,AUTORIZADA,137.74,96.56,27.08,14102.53,2538.46,232.69,1071.8,95.8,14266.59
136,2025-09-23,55,2,70817,9,1388,BA,RS,AUTORIZADA,63.82,116.85,18.96,15220.77,2739.74,251.14,1156.77,0.0,15186.7
137,2026-01-11,55,3,74247,14,2719,PE,RJ,CANCELADA,54.85,12.52,21.75,0.0,0.0,0.0,0.0,0.0,64.08
138,2025-08-15,55,5,16269,6,7,RJ,RJ,AUTORIZADA,21.66,23.24,2.08,21857.69,4371.54,360.65,1661.19,188.42,22046.61
139,2025-10-31,55,2,60424,2,3077,BA,SP,AUTORIZADA,96.15,60.61,32.24,29778.54,5360.13,491.34000000000003,2263.17,159.22,30005.54
140,2025-09-09,55,1,48368,16,2918,PR,GO,AUTORIZADA,115.36,97.12,9.61,12035.5,2046.04,198.58,914.69,309.79,12373.14
141,2025-07-24,55,3,74176,21,1123,PE,RS,AUTORIZADA,147.26,62.22,39.62,4848.72,872.77,80.0,368.5,0.0,4973.38
142,2026-01-19,65,3,11927,13,1604,PE,SC,AUTORIZADA,0.0,73.61,51.85,12820.84,2179.54,211.54,974.38,36.76,12835.84
143,2025-09-23,55,1,66990,15,738,MG,BA,AUTORIZADA,60.67,118.31,18.37,21278.03,3830.04,351.09000000000003,1617.13,0.0,21238.76
144,2025-10-10,55,3,94616,20,3480,MG,PE,AUTORIZADA,100.87,42.74,3.88,34517.07,6213.08,569.53,2623.3,1350.12,35929.2
145,2025-01-18,55,3,77187,20,1622,MG,RS,AUTORIZADA,8.42,89.25,21.25,3599.76,647.96,59.4,273.58,72.0,3612.18
146,2025-03-06,55,3,70914,4,1702,DF,CE,AUTORIZADA,60.03,63.57,4.43,31646.309999999998,5696.34,522.16,2405.13,98.36,31745.56
147,2025-09-23,55,2,75062,19,2964,GO,PR,AUTORIZADA,156.54,54.81,0.85,14404.25,2736.81,237.66,1094.72,131.45,14638.28
148,2025-12-07,65,5,68970,24,3121,SP,CE,AUTORIZADA,0.0,43.37,15.97,27071.94,4872.95,446.69,2057.48,541.38,27585.92
149,2025-02-17,55,5,29037,19,714,GO,PR,AUTORIZADA,79.41,56.89,32.95,32465.8,6168.5,535.6899999999999,2467.3999999999996,663.81,33185.08
150,2025-03-05,55,3,50203,11,3975,SP,DF,AUTORIZADA,96.31,29.41,24.51,24571.34,4422.84,405.43,1867.42,259.61,24922.36
151,2025-07-26,55,3,11533,1,3089,MG,RJ,AUTORIZADA,175.01,35.87,40.09,5014.25,1002.85,82.74,381.08,0.0,5193.48
152,2025-11-17,55,4,50915,16,1284,PR,SP,AUTORIZADA,111.59,16.28,59.94,39800.59,7164.110000000001,656.71,3024.85,469.37,40425.21
153,2025-09-20,55,4,90526,4,4139,DF,PE,AUTORIZADA,37.05,12.02,56.91,17812.75,3206.29,293.91,1353.76,191.91,18086.6
154,2025-10-11,55,5,61791,16,2418,PR,RS,AUTORIZADA,43.5,118.32,52.22,10947.76,1970.6,180.64,832.03,490.56,11415.72
155,2025-06-23,55,2,36265,19,3901,GO,DF,AUTORIZADA,22.09,76.8,6.97,742.39,133.63,12.25,56.42,0.0,694.65
156,2025-08-12,55,3,86233,6,1235,RJ,MG,AUTORIZADA,48.0,89.44,50.12,23338.59,4200.95,385.08,1773.73,0.0,23347.27
157,2025-01-19,55,5,12726,12,351,CE,SC,AUTORIZADA,153.0,40.68,9.04,7159.51,1217.12,118.13000000000001,544.12,0.0,7280.87
158,2025-03-01,55,4,88284,16,2496,PR,BA,AUTORIZADA,39.51,19.41,10.11,21052.14,3789.39,347.36,1599.95,1046.52,22128.87
159,2025-01-28,65,4,23399,14,445,PE,GO,AUTORIZADA,0.0,93.24,11.77,5871.88,998.22,96.89,446.26,293.59,6084.0
160,2025-01-06,65,2,87279,17,1633,RJ,BA,AUTORIZADA,0.0,114.92,38.06,8701.76,1566.32,143.58,661.3299999999999,318.88,8943.78
161,2025-08-09,55,1,87519,6,2298,RJ,SP,AUTORIZADA,174.22,48.94,47.96,1343.08,241.75,22.16,102.07,26.86,1543.18
162,2025-11-21,55,2,18204,18,1532,SC,DF,AUTORIZADA,133.45,71.51,24.95,50008.09,9001.46,825.14,3800.6099999999997,935.13,51030.11
163,2025-03-18,55,1,37476,5,1290,PE,CE,AUTORIZADA,104.66,74.94,54.55,24054.62,4329.82,396.89,1828.15,1295.01,25433.9
164,2025-08-19,55,2,20490,2,2948,BA,SC,AUTORIZADA,72.31,114.38,36.15,20708.449999999997,3520.43,341.69,1573.84,967.4499999999999,21669.98
165,2025-02-15,55,2,63962,20,1636,MG,CE,AUTORIZADA,85.56,112.44,53.78,23285.15,4191.3099999999995,384.2,1769.67,582.9100000000001,23894.96
166,2025-03-15,55,1,83283,2,4141,BA,MG,AUTORIZADA,139.81,47.78,55.29,31325.31,5638.55,516.87,2380.73,1741.1899999999998,33213.82
167,2025-10-28,65,3,46440,21,3829,PE,DF,AUTORIZADA,0.0,91.02,42.15,8926.35,1606.74,147.28,678.4100000000001,208.91000000000003,9086.39
168,2025-01-24,55,3,68554,3,3596,MG,PE,AUTORIZADA,35.12,36.04,52.1,4547.75,818.6,75.04,345.63,71.94,4670.87
169,2025-09-06,55,1,17290,10,927,DF,SP,AUTORIZADA,131.18,41.22,52.06,36250.33,6525.0599999999995,598.12,2755.02,0.0,36392.35
170,2025-01-18,55,5,70091,3,3336,MG,DF,AUTORIZADA,105.92,91.1,21.88,30956.57,5572.18,510.78,2352.7,295.71,31288.98
171,2025-05-28,55,4,31111,17,462,RJ,SP,AUTORIZADA,93.27,38.59,53.22,20244.26,3643.96,334.04,1538.55,80.55,20432.71
172,2025-03-05,65,4,16060,17,2582,RJ,RS,AUTORIZADA,0.0,82.23,11.17,31047.050000000003,5588.48,512.27,2359.58,325.43,31301.42
173,2025-06-18,65,3,24534,24,1505,SP,SP,AUTORIZADA,0.0,45.61,22.26,1562.73,281.29,25.79,118.77,0.0,1539.38
174,2025-04-15,65,5,64598,23,1591,MG,SC,AUTORIZADA,0.0,26.72,2.16,24581.649999999998,4178.87,405.6,1868.21,670.0600000000001,25227.15
175,2025-05-23,55,5,75857,21,2946,PE,BA,AUTORIZADA,25.51,115.59,51.77,18499.81,3329.96,305.24,1405.98,0.0,18461.5
176,2025-03-01,55,4,48642,3,1990,MG,RS,AUTORIZADA,5.47,55.71,20.61,11733.72,2112.07,193.6,891.76,372.35999999999996,12076.45
177,2025-12-06,65,2,41741,11,3002,SP,SP,AUTORIZADA,0.0,32.74,38.73,25854.75,4653.860000000001,426.6,1964.96,253.63,26114.37
178,2025-04-29,65,3,33302,20,372,MG,BA,AUTORIZADA,0.0,114.82,8.68,25792.61,4642.67,425.58000000000004,1960.25,66.3,25752.77
