competencia,funcionario_id,salario_bruto,bonus,descontos,salario_liquido
2025-01,606,11679.36,1631.85,2541.02,10770.19
2025-01,39,3128.66,199.37,516.84,2811.19
2025-01,278,8358.97,276.14,1689.13,6945.98
2025-01,89,3598.55,693.64,610.35,3681.84
2025-01,176,4807.6,754.71,951.56,4610.75
2025-01,242,4028.08,458.7,296.04,4190.74
2025-01,280,4083.82,506.9,1107.35,3483.37
2025-01,605,5511.71,0.0,288.57,5223.14
2025-01,490,4582.04,650.26,1122.39,4109.91
2025-01,54,7695.88,0.0,2030.07,5665.81
2025-01,642,8514.42,0.0,1920.61,6593.81
2025-01,37,4739.44,1019.14,750.84,5007.74
2025-01,277,7083.96,120.33,1151.83,6052.46
2025-01,113,3870.18,393.96,871.76,3392.38
2025-01,431,6132.65,54.64,318.73,5868.56
2025-01,447,3546.16,117.63,246.52,3417.27
2025-01,459,5907.36,417.58,1253.42,5071.52
2025-01,386,10331.03,964.46,2539.81,8755.68
2025-01,234,5169.11,0.0,693.79,4475.32
2025-01,264,3098.56,0.0,381.13,2717.43
2025-01,69,7287.31,0.0,1390.82,5896.49
2025-01,228,6393.23,1182.71,1006.01,6569.93
2025-01,342,3059.42,421.86,589.89,2891.39
2025-01,201,3595.99,0.0,969.39,2626.6
2025-01,171,6507.01,406.19,1465.19,5448.01
2025-01,440,6080.95,58.56,742.98,5396.53
2025-01,593,4241.94,0.0,558.39,3683.55
2025-01,373,4141.56,1022.47,506.7,4657.33
2025-01,182,5558.69,0.0,1369.57,4189.12
2025-01,56,8981.03,672.89,2324.5,7329.42
2025-01,52,4379.2,442.09,818.75,4002.54
2025-01,561,6224.7,346.5,812.05,5759.15
2025-01,252,3641.21,734.68,531.78,3844.11
2025-01,161,3765.81,0.0,869.6,2896.21
2025-01,188,5173.74,192.01,1133.01,4232.74
2025-01,534,6289.44,384.85,1013.55,5660.74
2025-01,145,5757.15,55.18,1070.16,4742.17
2025-01,197,6432.02,1441.2,302.68,7570.54
2025-01,108,4592.54,634.85,930.37,4297.02
2025-01,512,6236.58,810.02,844.78,6201.82
2025-01,125,11427.65,0.0,306.21,11121.44
2025-01,26,3677.01,270.73,607.94,3339.8
2025-01,159,5436.05,452.77,742.64,5146.18
2025-01,42,4044.55,312.55,129.08,4228.02
2025-01,618,5204.83,1089.77,1058.59,5236.01
2025-01,404,6030.72,444.16,443.66,6031.22
2025-01,370,13755.58,1813.97,3344.46,12225.09
2025-01,35,4145.01,409.02,758.22,3795.81
2025-01,195,3313.93,0.0,438.17,2875.76
2025-01,345,5460.55,739.04,1175.79,5023.8
2025-01,46,4842.82,162.19,1080.09,3924.92
2025-01,597,8404.17,0.0,1857.6,6546.57
2025-01,305,7380.16,887.78,422.22,7845.72
2025-01,152,5854.04,543.2,1076.4,5320.84
2025-01,457,3985.02,86.67,1004.7,3066.99
2025-01,299,4484.7,38.17,1040.12,3482.75
2025-01,294,10448.67,2412.98,2800.11,10061.54
2025-01,196,5107.18,597.53,1152.92,4551.79
2025-01,355,8678.92,0.0,1617.98,7060.94
2025-01,141,3500.83,285.19,938.69,2847.33
2025-01,72,4141.7,0.0,731.18,3410.52
2025-01,298,9055.08,0.0,2152.81,6902.27
2025-01,15,4421.18,769.21,985.87,4204.52
2025-01,556,3495.06,462.85,731.9,3226.01
2025-01,385,6333.69,0.0,1607.13,4726.56
2025-01,441,3500.87,0.0,701.08,2799.79
2025-01,629,3461.4,191.25,684.37,2968.28
2025-01,273,27358.98,0.0,3398.26,23960.72
2025-01,595,5210.54,0.0,1070.22,4140.32
2025-01,156,8706.88,1017.35,2387.81,7336.42
2025-01,544,6721.5,331.31,1260.28,5792.53
2025-01,450,6596.91,0.0,968.63,5628.28
2025-01,240,8972.82,905.07,339.04,9538.85
2025-01,215,7541.39,414.44,2046.68,5909.15
2025-01,334,3566.51,448.86,605.54,3409.83
2025-01,648,3849.03,647.68,927.81,3568.9
2025-01,27,6301.47,793.51,953.27,6141.71
2025-01,535,3220.65,146.42,672.93,2694.14
2025-01,169,8446.47,785.66,1554.68,7677.45
2025-01,609,9242.94,96.71,1638.44,7701.21
2025-01,532,4379.14,364.92,964.67,3779.39
2025-01,339,3659.05,191.09,547.87,3302.27
2025-01,80,4016.59,277.99,715.76,3578.82
2025-01,209,5410.24,314.69,794.67,4930.26
2025-01,210,8347.99,1085.97,1571.76,7862.2
2025-01,418,5115.25,0.0,1332.61,3782.64
2025-01,524,5291.63,0.0,662.06,4629.57
2025-01,131,2570.01,88.55,676.91,1981.65
2025-01,150,7824.19,0.0,2073.02,5751.17
2025-01,275,4660.89,0.0,701.97,3958.92
2025-01,235,4843.0,133.02,1058.98,3917.04
2025-01,381,5253.59,5.03,1188.72,4069.9
2025-01,246,7373.23,1110.46,1503.94,6979.75
2025-01,528,2795.07,0.0,521.79,2273.28
2025-01,607,2868.18,76.83,788.96,2156.05
2025-01,104,10207.44,118.2,2104.77,8220.87
2025-01,320,4662.39,129.13,902.0,3889.52
2025-01,500,9361.07,0.0,1401.0,7960.07
2025-01,114,5603.88,266.11,1544.38,4325.61
2025-01,23,7599.15,0.0,1529.15,6070.0
2025-01,547,15677.58,0.0,3605.67,12071.91
2025-01,103,38223.840000000004,4784.88,5183.72,37825.0
2025-01,177,5304.79,117.21,838.26,4583.74
2025-01,616,2949.24,51.77,462.49,2538.52
2025-01,367,10871.32,967.08,1886.68,9951.72
2025-01,484,7475.51,558.36,1499.92,6533.95
2025-01,226,4100.9,623.81,760.81,3963.9
2025-01,397,5952.76,324.06,1387.51,4889.31
2025-01,594,7564.07,1300.41,1168.55,7695.93
2025-01,187,4944.86,303.71,873.0,4375.57
2025-01,160,3817.78,100.36,906.46,3011.68
2025-01,289,4738.17,0.0,999.73,3738.44
2025-01,269,6007.42,846.2,1622.11,5231.51
2025-01,9,3513.02,425.28,865.35,3072.95
2025-01,545,3053.26,338.22,784.4,2607.08
2025-01,53,6474.05,634.53,1103.05,6005.53
2025-01,558,9060.14,552.49,2271.37,7341.26
2025-01,389,3556.47,23.59,721.35,2858.71
2025-01,28,8268.55,73.51,2013.26,6328.8
2025-01,180,3951.69,63.05,566.46,3448.28
2025-01,619,8338.3,313.92,654.04,7998.18
2025-01,592,5786.91,0.0,1591.04,4195.87
2025-01,329,3994.85,582.54,762.9,3814.49
2025-01,502,5394.9,816.58,670.27,5541.21
2025-01,479,8745.52,597.29,1152.34,8190.47
2025-01,640,9400.92,898.23,1776.35,8522.8
2025-01,546,3378.43,417.7,613.67,3182.46
2025-01,21,4570.46,479.68,699.06,4351.08
2025-01,635,7448.17,488.36,996.1,6940.43
2025-01,101,7732.21,0.0,2054.72,5677.49
2025-01,286,5049.05,144.07,1240.33,3952.79
2025-01,203,10846.84,1422.72,2862.55,9407.01
2025-01,614,5272.35,0.0,703.28,4569.07
2025-01,157,6441.33,382.34,500.24,6323.43
2025-01,306,4408.13,708.28,756.4,4360.01
2025-01,360,6666.43,367.79,1672.7,5361.52
2025-01,243,5039.96,225.24,279.22,4985.98
2025-01,476,3173.91,655.92,461.44,3368.39
2025-01,437,3130.6,341.3,403.32,3068.58
2025-01,328,8199.37,347.7,2190.0,6357.07
2025-01,520,11412.37,725.16,451.26,11686.27
2025-01,220,8963.44,637.86,1425.72,8175.58
2025-01,434,3150.14,303.47,591.02,2862.59
2025-01,75,4335.2,0.0,1033.88,3301.32
2025-01,567,2873.83,0.0,715.84,2157.99
2025-01,314,3118.73,515.9,497.92,3136.71
2025-01,223,10158.43,948.63,1598.96,9508.1
2025-01,96,2531.79,0.0,638.26,1893.53
2025-01,506,10132.59,0.0,1603.38,8529.21
2025-01,48,14110.85,1464.57,2568.41,13007.01
2025-01,110,10617.31,49.93,1827.2,8840.04
2025-01,247,7307.15,802.69,1622.46,6487.38
2025-01,572,3181.9,383.04,719.78,2845.16
2025-01,211,4189.87,33.96,551.83,3672.0
2025-01,399,5577.42,0.0,1560.85,4016.57
2025-01,458,4595.24,126.18,699.05,4022.37
2025-01,517,6323.98,425.06,1315.55,5433.49
2025-01,536,5838.52,0.0,308.6,5529.92
2025-01,175,4921.34,0.0,1165.01,3756.33
2025-01,359,5385.48,760.72,1241.29,4904.91
2025-01,442,11539.1,2247.97,791.0,12996.07
2025-01,643,9006.78,1758.93,2261.89,8503.82
2025-01,477,2475.24,437.72,402.74,2510.22
2025-01,378,4308.19,0.0,952.55,3355.64
2025-01,510,3820.34,0.0,743.91,3076.43
2025-01,379,5547.85,752.21,1352.13,4947.93
2025-01,368,10058.25,0.0,1260.78,8797.47
2025-01,90,5893.19,0.0,282.54,5610.65
2025-01,206,4804.73,100.22,1166.87,3738.08
2025-01,472,4975.15,156.76,697.99,4433.92
2025-01,627,6052.6,1112.85,1449.7,5715.75
2025-01,22,8563.27,281.7,1153.7,7691.27
2025-01,178,13882.72,503.24,2252.41,12133.55
2025-01,522,3091.8,215.64,568.07,2739.37
2025-01,581,3718.16,27.72,167.12,3578.76
2025-01,58,4818.66,0.0,609.62,4209.04
2025-01,443,2961.97,361.8,813.81,2509.96
2025-01,208,6982.2,876.04,1928.55,5929.69
2025-01,86,4955.61,472.27,773.37,4654.51
2025-01,498,5932.19,761.68,765.72,5928.15
2025-01,99,5833.12,278.11,1024.26,5086.97
2025-01,631,4860.29,406.23,116.55,5149.97
2025-01,628,5558.03,718.12,969.81,5306.34
2025-01,630,4094.02,185.98,973.73,3306.27
2025-01,259,6836.21,938.41,1502.28,6272.34
2025-01,636,2552.54,392.45,570.43,2374.56
2025-01,445,3721.4,248.29,449.83,3519.86
2025-01,63,4693.55,635.99,1150.31,4179.23
2025-01,451,4398.93,218.84,237.97,4379.8
2025-01,569,4007.5,0.0,1090.48,2917.02
2025-01,214,3775.15,0.0,587.15,3188.0
2025-01,461,3342.5,0.0,525.83,2816.67
2025-01,49,5558.02,0.0,191.15,5366.87
2025-01,601,4085.49,505.04,928.37,3662.16
2025-01,452,13414.54,276.31,1845.12,11845.73
2025-01,563,6731.51,0.0,1535.47,5196.04
2025-01,387,6213.67,631.67,1600.64,5244.7
2025-01,603,4188.25,755.98,876.67,4067.56
2025-01,449,3515.41,0.0,937.11,2578.3
2025-01,366,6959.59,51.95,1002.13,6009.41
2025-01,371,6048.12,720.2,803.99,5964.33
2025-01,478,4103.26,298.77,848.1,3553.93
2025-01,327,9975.97,0.0,1989.88,7986.09
2025-01,258,3101.32,569.1,574.67,3095.75
2025-01,293,2822.5,321.34,568.43,2575.41
2025-01,297,3618.28,0.0,563.65,3054.63
2025-01,448,6587.51,632.22,937.75,6281.98
2025-01,19,5620.61,501.17,1486.94,4634.84
2025-01,599,3266.22,70.38,689.26,2647.34
2025-01,254,3089.37,533.94,488.65,3134.66
2025-01,539,3325.9,336.7,701.81,2960.79
2025-01,350,3372.81,0.0,799.73,2573.08
2025-01,466,5211.37,0.0,772.67,4438.7
2025-01,109,4358.84,385.11,311.03,4432.92
2025-01,135,5193.74,398.01,1212.36,4379.39
2025-01,503,7915.06,0.0,1298.57,6616.49
2025-01,555,5095.04,532.0,687.61,4939.43
2025-01,283,10909.29,2220.4,2907.59,10222.1
2025-01,407,4402.42,204.39,890.47,3716.34
2025-01,352,4524.08,203.23,899.02,3828.29
2025-01,582,11169.56,619.35,2575.63,9213.28
2025-01,326,5804.6,211.15,457.18,5558.57
2025-01,549,10088.16,730.04,371.89,10446.31
2025-01,400,5932.07,0.0,726.95,5205.12
2025-01,102,13090.87,0.0,2479.21,10611.66
2025-01,613,2888.98,52.65,402.21,2539.42
2025-01,574,7815.86,549.09,1913.1,6451.85
2025-01,383,4517.12,0.0,1091.61,3425.51
2025-01,304,8691.76,0.0,420.59,8271.17
2025-01,64,9231.8,971.76,1296.89,8906.67
2025-01,111,8511.69,127.01,2026.21,6612.49
2025-01,453,14247.45,0.0,1998.49,12248.96
2025-01,598,5262.19,155.05,1396.57,4020.67
2025-01,586,7184.02,932.7,1964.0,6152.72
2025-01,550,4819.52,3.26,177.71,4645.07
2025-01,116,4805.0,0.0,812.74,3992.26
2025-01,149,5099.08,547.78,1226.56,4420.3
2025-01,436,4614.26,0.0,656.82,3957.44
2025-01,462,6211.91,67.48,277.29,6002.1
2025-01,76,4656.88,540.04,362.97,4833.95
2025-01,649,5254.2,0.0,736.12,4518.08
2025-01,51,5764.01,392.21,318.87,5837.35
2025-01,456,12502.36,0.0,1735.87,10766.49
2025-01,470,6902.35,318.81,1525.56,5695.6
2025-01,190,6973.83,661.86,844.15,6791.54
2025-01,615,4105.79,174.64,741.42,3539.01
2025-01,287,3430.97,196.08,795.73,2831.32
2025-01,455,10091.2,1305.05,1907.0,9489.25
2025-01,245,6751.63,590.63,1523.17,5819.09
2025-01,2,5292.88,254.53,942.78,4604.63
2025-01,302,4085.39,392.0,710.37,3767.02
2025-01,231,5664.05,0.0,1548.23,4115.82
2025-01,132,4356.34,248.24,114.94,4489.64
2025-01,128,5146.92,0.0,1404.77,3742.15
2025-01,365,2902.79,18.25,588.18,2332.86
2025-01,548,9993.59,1004.05,2091.62,8906.02
2025-01,227,3989.87,155.94,911.8,3234.01
2025-01,224,4736.41,499.21,1010.56,4225.06
2025-01,411,15443.8,941.75,2118.02,14267.53
2025-01,475,4678.28,264.17,1218.18,3724.27
2025-01,92,6431.18,862.93,1622.86,5671.25
2025-01,589,4645.54,425.1,1027.43,4043.21
2025-01,650,5782.45,497.16,1564.75,4714.86
2025-01,646,4112.56,0.0,814.86,3297.7
2025-01,621,5714.13,225.63,166.07,5773.69
2025-01,633,7676.09,674.76,268.87,8081.98
2025-01,430,8128.16,88.01,1666.83,6549.34
2025-01,263,3765.6,405.8,718.05,3453.35
2025-01,291,8533.98,812.71,2205.78,7140.91
2025-01,570,4429.54,650.62,622.7,4457.46
2025-01,460,5845.29,122.98,1426.72,4541.55
2025-01,170,6321.38,0.0,846.32,5475.06
2025-01,97,3628.6,499.27,1006.57,3121.3
2025-01,338,6987.0,464.94,1033.28,6418.66
2025-01,315,5728.76,802.51,1017.59,5513.68
2025-01,265,6149.04,1239.98,947.78,6441.24
2025-01,344,3765.69,211.49,847.3,3129.88
2025-01,274,4160.58,656.36,96.02,4720.92
2025-01,127,4077.11,328.02,739.09,3666.04
2025-01,325,7349.13,438.93,1038.09,6749.97
2025-01,588,4691.65,0.0,117.69,4573.96
2025-01,55,6574.61,703.89,1127.52,6150.98
2025-01,364,6578.93,436.58,518.26,6497.25
2025-01,3,4744.18,533.46,336.27,4941.37
2025-01,565,4278.97,378.48,894.94,3762.51
2025-01,425,4916.95,308.68,856.32,4369.31
2025-01,12,7882.72,1199.54,1992.12,7090.14
2025-01,151,2943.87,506.75,576.36,2874.26
2025-01,250,6331.86,0.0,1114.11,5217.75
2025-01,204,2981.22,271.69,686.59,2566.32
2025-01,6,2501.56,315.88,528.92,2288.52
2025-01,168,6309.05,573.16,1543.4,5338.81
2025-01,17,10517.41,1037.16,1637.93,9916.64
2025-01,193,6246.05,1017.16,1308.58,5954.63
2025-01,162,4314.68,0.0,985.91,3328.77
2025-01,310,4836.67,274.98,780.84,4330.81
2025-01,346,4092.53,0.0,711.45,3381.08
2025-01,163,10796.13,7.34,712.26,10091.21
2025-01,585,9359.43,106.78,1455.65,8010.56
2025-01,444,5924.67,988.67,1378.76,5534.58
2025-01,296,3754.0,880.06,902.45,3731.61
2025-01,395,5746.87,0.0,1466.83,4280.04
2025-01,225,4110.2,379.46,537.79,3951.87
2025-01,212,6519.86,412.84,1616.55,5316.15
2025-01,316,9878.66,575.61,2539.58,7914.69
2025-01,521,2701.23,285.3,453.24,2533.29
2025-01,194,6416.27,543.95,326.94,6633.28
2025-01,471,4543.76,254.98,882.16,3916.58
2025-01,216,3942.63,371.19,873.54,3440.28
2025-01,229,4739.18,195.28,836.7,4097.76
2025-01,84,7378.65,1562.93,1807.36,7134.22
2025-01,164,4919.22,558.89,830.6,4647.51
2025-01,290,2916.36,162.32,496.01,2582.67
2025-01,36,2863.14,401.04,215.36,3048.82
2025-01,202,6930.53,877.59,157.41,7650.71
2025-01,537,3915.28,0.0,531.4,3383.88
2025-01,321,3482.19,0.0,460.82,3021.37
2025-01,538,8832.22,0.0,1159.21,7673.01
2025-01,413,3268.19,412.25,400.14,3280.3
2025-01,77,12343.27,903.11,2194.57,11051.81
2025-01,465,14546.43,823.19,2403.19,12966.43
2025-01,62,7257.89,952.31,1424.36,6785.84
2025-01,66,3088.96,0.0,786.88,2302.08
2025-01,394,8088.62,378.42,557.11,7909.93
2025-01,485,12002.85,687.96,2438.82,10251.99
2025-01,497,5875.61,474.39,884.1,5465.9
2025-01,624,6707.55,0.0,988.57,5718.98
2025-01,336,8027.21,403.08,1446.24,6984.05
2025-01,409,6569.34,118.09,1449.0,5238.43
2025-01,88,3129.16,531.44,521.58,3139.02
2025-01,540,4007.6,192.43,574.69,3625.34
2025-01,43,8391.12,1007.96,1304.61,8094.47
2025-01,24,7140.38,126.52,1444.84,5822.06
2025-01,332,6616.65,517.92,1453.32,5681.25
2025-01,641,7879.65,823.46,1439.37,7263.74
2025-01,146,9100.64,268.74,1134.85,8234.53
2025-01,377,3794.87,1161.23,1048.36,3907.74
2025-01,406,5105.51,0.0,706.62,4398.89
2025-01,25,5371.2,796.4,1397.76,4769.84
2025-01,541,7953.27,0.0,1318.16,6635.11
2025-01,482,6712.55,929.65,504.42,7137.78
2025-01,511,3800.04,126.06,675.22,3250.88
2025-01,312,9341.89,551.54,2460.68,7432.75
2025-01,318,4134.6,560.22,928.92,3765.9
2025-01,634,3094.81,501.3,641.1,2955.01
2025-01,7,4761.6,0.0,877.56,3884.04
2025-01,213,10427.6,950.72,2609.98,8768.34
2025-01,73,5448.84,258.81,1488.81,4218.84
2025-01,369,2460.99,448.7,551.11,2358.58
2025-01,421,4853.12,994.22,1235.68,4611.66
2025-01,467,7229.76,0.0,1789.57,5440.19
2025-01,507,10069.09,1052.22,1774.99,9346.32
2025-01,165,6768.78,434.83,1277.51,5926.1
2025-01,347,6884.15,228.74,1055.49,6057.4
2025-01,172,10283.61,285.6,1773.69,8795.52
2025-01,492,4419.9,0.0,717.81,3702.09
2025-01,4,9770.15,719.33,1580.59,8908.89
2025-01,284,9871.14,961.06,2741.83,8090.37
2025-01,583,7242.11,846.77,1609.19,6479.69
2025-01,45,6095.81,28.55,1078.47,5045.89
2025-01,192,4874.13,0.0,238.76,4635.37
2025-01,60,3816.41,680.15,639.05,3857.51
2025-01,95,6337.96,0.0,133.34,6204.62
2025-01,416,15671.71,0.0,1896.28,13775.43
2025-01,16,3737.72,296.62,803.88,3230.46
2025-01,432,10095.91,576.92,366.71,10306.12
2025-01,617,4044.17,427.44,858.76,3612.85
2025-01,93,4642.07,581.24,971.38,4251.93
2025-01,71,4013.43,17.68,1062.55,2968.56
2025-01,20,7130.73,355.28,1719.75,5766.26
2025-01,495,8628.22,0.0,1038.74,7589.48
2025-01,533,10784.6,0.0,2290.44,8494.16
2025-01,408,2863.84,461.05,793.56,2531.33
2025-01,362,5818.55,519.77,1262.1,5076.22
2025-01,552,15013.55,2204.13,743.26,16474.42
2025-01,257,7043.43,251.21,1122.81,6171.83
2025-01,10,3888.52,0.0,955.49,2933.03
2025-01,340,4317.84,887.75,638.76,4566.83
2025-01,319,7616.52,184.34,1836.89,5963.97
2025-01,516,3147.87,616.29,473.31,3290.85
2025-01,115,7039.53,616.9,1381.18,6275.25
2025-01,200,7220.55,302.77,1434.44,6088.88
2025-01,153,5731.73,596.66,1602.2,4726.19
2025-01,402,5423.69,409.64,716.07,5117.26
2025-01,191,5356.57,0.0,1066.23,4290.34
2025-01,382,13410.64,134.98,433.04,13112.58
2025-01,620,8103.83,560.36,1199.18,7465.01
2025-01,341,5706.38,481.57,1263.86,4924.09
2025-01,356,8227.88,544.51,436.41,8335.98
2025-01,417,5848.71,129.29,1065.95,4912.05
2025-01,481,8528.87,552.98,1238.77,7843.08
2025-01,233,7253.5,1441.62,1642.98,7052.14
2025-01,401,9038.25,0.0,1247.53,7790.72
2025-01,199,3555.07,250.12,788.37,3016.82
2025-01,184,18411.06,3915.04,3068.84,19257.26
2025-01,623,7778.26,642.64,1926.67,6494.23
2025-01,236,6898.63,0.0,1853.45,5045.18
2025-01,271,4942.53,645.3,1370.63,4217.2
2025-01,602,2878.59,0.0,656.23,2222.36
2025-01,361,6352.11,1107.58,1056.03,6403.66
2025-01,380,3666.08,0.0,985.68,2680.4
2025-01,232,7919.93,1036.41,2120.07,6836.27
2025-01,137,3020.83,362.68,816.08,2567.43
2025-01,217,5085.05,156.06,1169.28,4071.83
2025-01,349,4893.16,203.35,1195.3,3901.21
2025-01,439,10290.73,0.0,1760.86,8529.87
2025-01,285,10690.98,169.41,2451.84,8408.55
2025-01,186,5097.57,77.4,915.74,4259.23
2025-01,647,3068.11,242.37,626.99,2683.49
2025-01,40,4293.86,456.85,1173.96,3576.75
2025-01,645,6691.4,0.0,1241.78,5449.62
2025-01,239,2969.7,186.13,446.17,2709.66
2025-01,508,5682.08,0.0,1436.47,4245.61
2025-01,311,9934.37,268.65,2597.48,7605.54
2025-01,324,3892.44,732.69,283.72,4341.41
2025-01,611,7369.25,0.0,1172.23,6197.02
2025-01,87,2790.89,410.5,709.86,2491.53
2025-01,529,4680.37,0.0,1041.66,3638.71
2025-01,357,10844.82,650.44,1912.97,9582.29
2025-01,591,4190.19,0.0,978.25,3211.94
2025-01,143,9423.25,0.0,2248.11,7175.14
2025-01,433,12806.6,740.28,2826.07,10720.81
2025-01,270,3115.28,923.51,761.92,3276.87
2025-01,123,7489.04,0.0,2007.01,5482.03
2025-01,249,6054.9,393.26,1123.98,5324.18
2025-01,144,6951.71,1105.05,1441.85,6614.91
2025-01,142,4508.29,129.71,1115.56,3522.44
2025-01,489,3993.62,204.45,775.66,3422.41
2025-01,638,5029.96,835.72,670.88,5194.8
2025-01,11,3348.04,3.31,828.14,2523.21
2025-01,424,2923.17,157.01,354.25,2725.93
2025-01,429,4056.19,257.45,168.39,4145.25
2025-01,391,3505.32,344.21,962.83,2886.7
2025-01,118,6860.33,1444.31,837.76,7466.88
2025-01,608,6101.14,661.74,1591.99,5170.89
2025-01,398,8111.27,0.0,2078.7,6032.57
2025-01,562,3365.78,117.25,81.7,3401.33
2025-01,59,16419.64,952.59,636.89,16735.34
2025-01,292,10502.75,258.11,2753.22,8007.64
2025-01,464,9012.31,0.0,1814.27,7198.04
2025-01,590,11063.22,0.0,3088.91,7974.31
2025-01,38,4976.73,920.94,903.61,4994.06
2025-01,488,7425.86,0.0,1205.04,6220.82
2025-01,253,9488.81,0.0,1224.72,8264.09
2025-01,308,6622.41,719.52,1516.34,5825.59
2025-01,41,5410.7,0.0,1042.3,4368.4
2025-01,140,5968.01,863.99,1357.71,5474.29
2025-01,34,5682.16,502.5,706.95,5477.71
2025-01,79,5256.7,219.55,643.59,4832.66
2025-01,576,6828.97,803.38,1714.81,5917.54
2025-01,279,6611.93,1032.82,1525.05,6119.7
2025-01,414,6177.07,42.72,932.16,5287.63
2025-01,612,5306.43,0.0,1015.26,4291.17
2025-01,126,4585.09,247.3,629.96,4202.43
2025-01,82,7797.01,774.69,415.67,8156.03
2025-01,578,7654.65,208.82,1954.24,5909.23
2025-01,491,4345.6,20.91,276.99,4089.52
2025-01,91,3091.92,388.9,533.54,2947.28
2025-01,260,7194.64,133.55,1593.37,5734.82
2025-01,351,5844.0,729.66,1274.71,5298.95
2025-01,241,5019.06,28.67,1178.88,3868.85
2025-01,5,6928.71,0.0,1075.65,5853.06
2025-01,587,12669.81,477.01,2850.82,10296.0
2025-01,219,3651.05,931.44,227.82,4354.67
2025-01,376,6610.29,721.93,363.04,6969.18
2025-01,136,3421.44,536.37,617.64,3340.17
2025-01,138,4300.64,0.0,1173.33,3127.31
2025-01,420,5777.65,274.96,1047.26,5005.35
2025-01,295,3046.63,543.05,371.41,3218.27
2025-01,119,7473.24,550.05,1934.16,6089.13
2025-01,30,6316.87,496.49,1411.57,5401.79
2025-01,579,13292.02,730.1,989.59,13032.53
2025-01,566,4659.63,276.22,1055.4,3880.45
2025-01,622,7895.28,594.43,1989.98,6499.73
2025-01,61,9803.73,1619.76,1507.08,9916.41
2025-01,575,4617.11,585.45,822.38,4380.18
2025-01,644,7825.41,1008.52,1313.61,7520.32
2025-01,543,3661.63,0.0,694.16,2967.47
2025-01,205,4572.93,421.54,781.2,4213.27
2025-01,463,3220.42,69.59,430.48,2859.53
2025-01,515,3306.53,449.24,835.47,2920.3
2025-01,604,8883.25,126.88,1581.78,7428.35
2025-01,527,2853.97,0.0,719.26,2134.71
2025-01,218,3198.32,576.14,894.98,2879.48
2025-01,335,7945.72,2627.81,1285.02,9288.51
2025-01,133,5060.8,149.09,1407.66,3802.23
2025-01,221,10866.04,986.25,1754.52,10097.77
2025-01,323,4644.73,557.75,694.56,4507.92
2025-01,577,6559.19,0.0,1087.5,5471.69
2025-01,504,6243.85,702.23,377.8,6568.28
2025-01,179,3999.34,0.0,540.32,3459.02
2025-01,354,8125.5,291.6,1271.78,7145.32
2025-01,173,5682.37,290.57,1425.71,4547.23
2025-01,571,7137.18,433.78,906.87,6664.09
2025-01,98,4263.24,425.13,936.31,3752.06
2025-01,501,6515.32,1216.04,1822.2,5909.16
2025-01,154,5817.92,0.0,1063.16,4754.76
2025-01,428,4448.5,0.0,772.78,3675.72
2025-01,626,3331.15,0.0,813.34,2517.81
2025-01,518,4943.5,298.51,839.68,4402.33
2025-01,435,8225.83,291.76,2280.18,6237.41
2025-01,557,6253.23,452.28,1212.42,5493.09
