venda_id,data,cliente_id,canal,loja,forma_pagamento,cupom,frete,status
31,2025-10-04,108,Online,E-commerce,Cartão Débito,SEM_CUPOM,59.01,Concluída
32,2025-03-02,553,Online,E-commerce,PIX,SEM_CUPOM,7.25,Concluída
33,2025-09-08,319,Online,E-commerce,PIX,PROMO10,23.31,Concluída
34,2025-03-20,104,Presencial,Loja 02 - Shopping,Cartão Débito,FRETEGRATIS,0.0,Concluída
35,2025-04-19,47,Online,E-commerce,Cartão Débito,SEM_CUPOM,38.95,Concluída
36,2025-06-08,1069,Presencial,Loja 03 - Bairro,Dinheiro,SEM_CUPOM,0.0,Concluída
37,2025-02-17,1302,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
38,2025-02-17,991,Online,E-commerce,PIX,SEM_CUPOM,21.1,Concluída
39,2025-10-17,1042,Presencial,Loja 01 - Centro,Cartão Débito,SEM_CUPOM,0.0,Concluída
40,2025-05-13,56,Online,E-commerce,Cartão Débito,SEM_CUPOM,18.82,Concluída
41,2025-08-07,267,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
42,2025-09-06,52,Online,E-commerce,Cartão Débito,SEM_CUPOM,28.08,Concluída
43,2025-08-28,1462,Online,E-commerce,PIX,SEM_CUPOM,12.52,Concluída
44,2025-08-29,1107,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Cancelada
45,2026-01-10,1434,Online,E-commerce,PIX,SEM_CUPOM,39.22,Concluída
46,2025-08-31,1358,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
47,2025-05-14,337,Online,E-commerce,Cartão Débito,SEM_CUPOM,57.09,Concluída
48,2025-04-20,768,Online,E-commerce,PIX,SEM_CUPOM,59.2,Concluída
49,2025-11-04,971,Online,E-commerce,Boleto,SEM_CUPOM,30.64,Concluída
50,2025-06-11,1113,Online,E-commerce,PIX,SEM_CUPOM,19.07,Concluída
51,2025-08-03,1003,Online,E-commerce,Cartão Débito,SEM_CUPOM,24.86,Concluída
52,2025-11-09,680,Online,E-commerce,Cartão Crédito,FRETEGRATIS,14.84,Cancelada
53,2025-04-01,7,Online,E-commerce,PIX,SEM_CUPOM,38.91,Concluída
54,2025-03-27,1409,Presencial,Loja 03 - Bairro,Cartão Crédito,FRETEGRATIS,0.0,Concluída
55,2025-01-21,1034,Presencial,Loja 03 - Bairro,Dinheiro,FRETEGRATIS,0.0,Cancelada
56,2025-01-28,1255,Online,E-commerce,Dinheiro,SEM_CUPOM,8.76,Concluída
57,2025-08-25,333,Presencial,Loja 03 - Bairro,PIX,FRETEGRATIS,0.0,Concluída
58,2025-07-13,160,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
59,2025-04-25,1352,Online,E-commerce,PIX,SEM_CUPOM,20.68,Concluída
60,2025-03-23,1209,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
61,2025-09-25,1258,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
62,2025-02-02,661,Presencial,Loja 02 - Shopping,Dinheiro,CLIENTEVIP,0.0,Concluída
63,2025-09-27,1358,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Devolvida
64,2025-12-14,337,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
65,2025-06-24,1137,Presencial,Loja 01 - Centro,Dinheiro,SEM_CUPOM,0.0,Concluída
66,2025-07-09,742,Online,E-commerce,Cartão Débito,SEM_CUPOM,11.09,Concluída
67,2025-07-25,248,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
68,2025-02-06,1077,Online,E-commerce,Boleto,SEM_CUPOM,13.34,Concluída
69,2025-08-29,541,Online,E-commerce,Cartão Crédito,FRETEGRATIS,43.64,Concluída
70,2025-05-21,239,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
71,2025-06-29,1064,Online,E-commerce,PIX,SEM_CUPOM,64.53,Concluída
72,2025-01-09,1158,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
73,2025-12-03,485,Online,E-commerce,PIX,SEM_CUPOM,43.9,Concluída
74,2025-05-09,1451,Online,E-commerce,Boleto,PROMO10,15.87,Concluída
75,2025-01-30,1066,Online,E-commerce,PIX,SEM_CUPOM,26.5,Concluída
76,2025-10-28,34,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
77,2026-01-12,505,Presencial,Loja 01 - Centro,Dinheiro,SEM_CUPOM,0.0,Concluída
78,2025-07-19,1462,Presencial,Loja 01 - Centro,Dinheiro,BLACK15,0.0,Concluída
79,2025-01-13,267,Online,E-commerce,Boleto,SEM_CUPOM,40.82,Concluída
80,2026-01-16,1431,Presencial,Loja 02 - Shopping,Boleto,PROMO10,0.0,Concluída
81,2025-03-21,778,Presencial,Loja 02 - Shopping,Dinheiro,SEM_CUPOM,0.0,Concluída
82,2025-04-03,1013,Presencial,Loja 02 - Shopping,Boleto,SEM_CUPOM,0.0,Concluída
83,2025-09-29,1030,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
84,2025-05-08,768,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
85,2025-02-02,776,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Cancelada
86,2025-09-20,851,Online,E-commerce,Cartão Crédito,SEM_CUPOM,56.38,Concluída
87,2025-04-11,963,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
88,2025-11-27,1107,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
89,2025-03-01,658,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
90,2025-12-14,654,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
91,2025-10-05,1168,Online,E-commerce,Cartão Crédito,PROMO10,46.43,Concluída
92,2025-04-02,1136,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
93,2025-08-11,975,Presencial,Loja 03 - Bairro,Cartão Crédito,CLIENTEVIP,0.0,Concluída
94,2025-12-27,692,Presencial,Loja 02 - Shopping,PIX,CLIENTEVIP,0.0,Concluída
95,2025-01-25,862,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
96,2025-11-11,857,Online,E-commerce,PIX,PROMO10,9.45,Concluída
97,2025-06-26,654,Online,E-commerce,Cartão Débito,SEM_CUPOM,39.26,Concluída
98,2025-12-31,268,Presencial,Loja 01 - Centro,Boleto,SEM_CUPOM,0.0,Cancelada
99,2025-03-22,804,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
100,2025-10-04,665,Presencial,Loja 02 - Shopping,Boleto,SEM_CUPOM,0.0,Concluída
101,2026-01-07,77,Online,E-commerce,Boleto,SEM_CUPOM,12.82,Concluída
102,2025-05-13,1434,Presencial,Loja 02 - Shopping,Dinheiro,BLACK15,0.0,Concluída
103,2025-02-11,1001,Online,E-commerce,Boleto,CLIENTEVIP,24.33,Concluída
104,2025-05-31,171,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
105,2025-08-18,307,Online,E-commerce,PIX,SEM_CUPOM,62.71,Concluída
106,2025-08-30,858,Presencial,Loja 02 - Shopping,PIX,BLACK15,0.0,Concluída
107,2025-07-05,1291,Presencial,Loja 01 - Centro,PIX,PROMO10,0.0,Concluída
108,2025-12-25,729,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
109,2025-08-10,1219,Presencial,Loja 03 - Bairro,Dinheiro,BLACK15,0.0,Concluída
110,2025-09-04,193,Online,E-commerce,PIX,SEM_CUPOM,57.99,Concluída
111,2026-01-03,792,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
112,2025-12-27,1242,Presencial,Loja 01 - Centro,Dinheiro,SEM_CUPOM,0.0,Concluída
113,2025-05-12,1271,Online,E-commerce,PIX,PROMO10,16.69,Concluída
114,2025-04-20,361,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
115,2025-10-15,1007,Presencial,Loja 02 - Shopping,PIX,FRETEGRATIS,0.0,Concluída
116,2025-07-21,60,Presencial,Loja 01 - Centro,PIX,PROMO10,0.0,Concluída
117,2025-06-21,212,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
118,2025-09-26,1351,Online,E-commerce,Cartão Crédito,SEM_CUPOM,47.36,Concluída
119,2025-09-11,1112,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
120,2025-12-17,311,Online,E-commerce,PIX,SEM_CUPOM,21.42,Cancelada
121,2025-05-21,1494,Presencial,Loja 01 - Centro,Cartão Débito,SEM_CUPOM,0.0,Concluída
122,2025-10-17,1490,Presencial,Loja 02 - Shopping,PIX,CLIENTEVIP,0.0,Concluída
123,2025-03-29,62,Online,E-commerce,Cartão Crédito,SEM_CUPOM,0.51,Concluída
124,2025-12-26,39,Online,E-commerce,PIX,SEM_CUPOM,55.26,Concluída
125,2025-02-02,368,Online,E-commerce,Boleto,FRETEGRATIS,53.46,Concluída
126,2025-10-16,1191,Presencial,Loja 03 - Bairro,Cartão Débito,CLIENTEVIP,0.0,Concluída
127,2025-02-09,897,Presencial,Loja 02 - Shopping,PIX,BLACK15,0.0,Concluída
128,2025-12-04,769,Online,E-commerce,Cartão Crédito,SEM_CUPOM,19.12,Concluída
129,2026-01-04,623,Online,E-commerce,Cartão Crédito,SEM_CUPOM,50.19,Concluída
130,2025-11-11,720,Presencial,Loja 03 - Bairro,Boleto,SEM_CUPOM,0.0,Concluída
131,2025-10-30,957,Presencial,Loja 02 - Shopping,Dinheiro,SEM_CUPOM,0.0,Cancelada
132,2025-07-03,96,Online,E-commerce,PIX,SEM_CUPOM,2.05,Concluída
133,2025-04-05,880,Presencial,Loja 03 - Bairro,Cartão Crédito,FRETEGRATIS,0.0,Concluída
134,2026-01-14,332,Online,E-commerce,PIX,BLACK15,35.09,Concluída
135,2025-07-23,1182,Online,E-commerce,Cartão Débito,SEM_CUPOM,63.8,Concluída
136,2025-11-10,294,Presencial,Loja 01 - Centro,PIX,FRETEGRATIS,0.0,Concluída
137,2025-10-02,107,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
138,2025-09-27,653,Presencial,Loja 03 - Bairro,Boleto,SEM_CUPOM,0.0,Concluída
139,2025-05-16,661,Online,E-commerce,Cartão Crédito,SEM_CUPOM,51.25,Concluída
140,2025-06-13,778,Online,E-commerce,Boleto,SEM_CUPOM,37.41,Concluída
141,2025-06-18,1291,Presencial,Loja 03 - Bairro,PIX,PROMO10,0.0,Concluída
142,2025-08-20,1050,Presencial,Loja 01 - Centro,Dinheiro,SEM_CUPOM,0.0,Concluída
143,2025-10-03,545,Presencial,Loja 01 - Centro,Boleto,FRETEGRATIS,0.0,Concluída
144,2025-03-18,1090,Online,E-commerce,Cartão Crédito,SEM_CUPOM,23.78,Concluída
145,2025-03-29,756,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Cancelada
146,2025-01-19,336,Online,E-commerce,Cartão Crédito,SEM_CUPOM,47.8,Concluída
147,2025-07-22,33,Presencial,Loja 02 - Shopping,Cartão Débito,SEM_CUPOM,0.0,Concluída
148,2025-09-14,6,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
149,2025-03-22,337,Presencial,Loja 03 - Bairro,Dinheiro,SEM_CUPOM,0.0,Concluída
150,2025-10-01,1229,Online,E-commerce,Cartão Débito,SEM_CUPOM,63.4,Concluída
151,2025-01-02,696,Online,E-commerce,Dinheiro,SEM_CUPOM,12.49,Cancelada
152,2025-11-29,678,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
153,2025-09-23,599,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
154,2025-09-20,384,Online,E-commerce,PIX,BLACK15,3.22,Concluída
155,2025-09-29,1072,Online,E-commerce,PIX,SEM_CUPOM,24.52,Concluída
156,2025-05-18,20,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
157,2026-01-18,918,Online,E-commerce,PIX,PROMO10,33.6,Concluída
158,2025-10-14,1406,Online,E-commerce,Cartão Débito,CLIENTEVIP,15.94,Concluída
159,2025-03-11,1321,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
160,2025-12-21,554,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
161,2025-10-11,1283,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
162,2025-04-30,357,Presencial,Loja 02 - Shopping,Cartão Débito,SEM_CUPOM,0.0,Concluída
163,2025-12-31,362,Online,E-commerce,Cartão Débito,SEM_CUPOM,40.08,Concluída
164,2025-04-06,516,Presencial,Loja 03 - Bairro,Cartão Crédito,PROMO10,0.0,Concluída
165,2025-09-05,27,Presencial,Loja 02 - Shopping,PIX,FRETEGRATIS,0.0,Concluída
166,2025-09-15,399,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
167,2026-01-05,1282,Online,E-commerce,Cartão Débito,PROMO10,19.88,Concluída
168,2025-08-07,1144,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
169,2026-01-17,494,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
170,2025-04-20,469,Presencial,Loja 02 - Shopping,Dinheiro,SEM_CUPOM,0.0,Concluída
171,2025-11-04,521,Online,E-commerce,PIX,CLIENTEVIP,63.82,Concluída
172,2025-04-05,179,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
173,2026-01-19,238,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
174,2025-10-21,1490,Online,E-commerce,Boleto,SEM_CUPOM,17.25,Cancelada
175,2025-08-29,1040,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
176,2025-01-26,1017,Online,E-commerce,Dinheiro,BLACK15,52.19,Concluída
177,2025-07-10,421,Presencial,Loja 01 - Centro,Boleto,SEM_CUPOM,0.0,Concluída
178,2025-02-25,1284,Online,E-commerce,Cartão Débito,SEM_CUPOM,62.7,Concluída
179,2025-12-19,266,Presencial,Loja 03 - Bairro,PIX,BLACK15,0.0,Concluída
180,2025-05-26,1454,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
181,2025-11-16,756,Presencial,Loja 03 - Bairro,Boleto,CLIENTEVIP,0.0,Concluída
182,2025-12-14,497,Online,E-commerce,Dinheiro,PROMO10,32.47,Concluída
183,2025-02-12,1126,Online,E-commerce,Boleto,PROMO10,12.95,Concluída
184,2025-10-19,626,Presencial,Loja 01 - Centro,Dinheiro,SEM_CUPOM,0.0,Concluída
185,2025-04-27,405,Presencial,Loja 01 - Centro,Cartão Débito,SEM_CUPOM,0.0,Concluída
186,2025-02-11,1026,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
187,2025-04-11,1084,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
188,2025-07-31,905,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
189,2025-11-25,693,Online,E-commerce,PIX,SEM_CUPOM,57.87,Concluída
190,2025-09-23,494,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
191,2025-03-31,606,Online,E-commerce,PIX,SEM_CUPOM,26.15,Concluída
192,2025-04-24,1312,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
193,2025-04-27,540,Online,E-commerce,PIX,PROMO10,35.37,Concluída
194,2025-10-10,1451,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Concluída
195,2025-07-19,219,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
196,2025-01-10,245,Online,E-commerce,Cartão Crédito,SEM_CUPOM,3.19,Concluída
197,2025-01-30,499,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Concluída
198,2025-01-30,5,Online,E-commerce,Cartão Crédito,SEM_CUPOM,22.63,Concluída
199,2026-01-05,1319,Online,E-commerce,Cartão Crédito,SEM_CUPOM,36.14,Concluída
200,2025-07-13,511,Online,E-commerce,Cartão Crédito,PROMO10,45.04,Concluída
201,2025-07-08,154,Online,E-commerce,PIX,SEM_CUPOM,61.82,Concluída
202,2025-10-20,928,Presencial,Loja 02 - Shopping,Cartão Crédito,FRETEGRATIS,0.0,Concluída
203,2025-03-15,1438,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Concluída
204,2025-01-13,1491,Online,E-commerce,PIX,SEM_CUPOM,37.93,Concluída
205,2025-04-14,162,Presencial,Loja 03 - Bairro,Boleto,SEM_CUPOM,0.0,Concluída
206,2025-03-22,1190,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
207,2025-11-03,544,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
208,2025-11-11,1255,Online,E-commerce,Boleto,SEM_CUPOM,17.64,Concluída
209,2025-09-01,910,Presencial,Loja 02 - Shopping,Cartão Débito,SEM_CUPOM,0.0,Concluída
210,2025-12-16,1098,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
211,2025-06-28,1257,Online,E-commerce,Cartão Débito,CLIENTEVIP,36.22,Concluída
212,2025-04-03,1344,Online,E-commerce,PIX,SEM_CUPOM,4.61,Concluída
213,2025-05-08,216,Presencial,Loja 02 - Shopping,Cartão Débito,FRETEGRATIS,0.0,Concluída
214,2025-02-24,1086,Presencial,Loja 01 - Centro,Cartão Crédito,BLACK15,0.0,Concluída
215,2025-12-12,212,Online,E-commerce,PIX,SEM_CUPOM,9.63,Concluída
216,2025-08-21,1416,Presencial,Loja 03 - Bairro,PIX,PROMO10,0.0,Concluída
217,2025-10-24,943,Online,E-commerce,Dinheiro,CLIENTEVIP,22.87,Concluída
218,2025-04-19,289,Online,E-commerce,PIX,SEM_CUPOM,1.45,Concluída
219,2025-10-03,440,Presencial,Loja 03 - Bairro,Boleto,SEM_CUPOM,0.0,Cancelada
220,2025-05-07,1344,Presencial,Loja 03 - Bairro,PIX,PROMO10,0.0,Devolvida
221,2025-06-21,967,Presencial,Loja 03 - Bairro,Cartão Crédito,PROMO10,0.0,Concluída
222,2025-09-08,344,Presencial,Loja 01 - Centro,Cartão Crédito,FRETEGRATIS,0.0,Concluída
223,2026-01-12,1231,Online,E-commerce,Cartão Débito,SEM_CUPOM,4.9,Concluída
224,2025-08-03,1078,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
225,2025-09-30,116,Online,E-commerce,Cartão Crédito,SEM_CUPOM,0.48,Concluída
226,2025-08-17,425,Online,E-commerce,Cartão Crédito,SEM_CUPOM,11.82,Concluída
227,2025-06-12,1267,Presencial,Loja 02 - Shopping,Cartão Débito,SEM_CUPOM,0.0,Cancelada
228,2025-12-25,527,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
229,2026-01-04,57,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
230,2025-04-30,906,Presencial,Loja 03 - Bairro,Cartão Crédito,FRETEGRATIS,0.0,Concluída
231,2025-12-10,1349,Online,E-commerce,Cartão Crédito,SEM_CUPOM,53.66,Concluída
232,2025-06-23,835,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
233,2025-10-12,1464,Presencial,Loja 01 - Centro,PIX,CLIENTEVIP,0.0,Concluída
234,2025-07-18,172,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Concluída
235,2025-10-22,1002,Presencial,Loja 03 - Bairro,Dinheiro,SEM_CUPOM,0.0,Concluída
236,2025-12-01,975,Online,E-commerce,PIX,SEM_CUPOM,22.84,Concluída
237,2025-06-12,1477,Online,E-commerce,PIX,SEM_CUPOM,58.66,Concluída
238,2025-09-27,782,Online,E-commerce,Dinheiro,PROMO10,57.52,Concluída
239,2025-07-14,1233,Online,E-commerce,Cartão Crédito,BLACK15,56.12,Concluída
240,2025-11-03,219,Online,E-commerce,Cartão Crédito,SEM_CUPOM,13.77,Concluída
241,2025-03-15,67,Presencial,Loja 03 - Bairro,Cartão Débito,FRETEGRATIS,0.0,Cancelada
242,2025-10-07,1075,Online,E-commerce,Cartão Crédito,SEM_CUPOM,22.26,Concluída
243,2025-08-17,6,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
244,2025-06-23,1313,Presencial,Loja 03 - Bairro,Dinheiro,FRETEGRATIS,0.0,Concluída
245,2025-05-23,32,Online,E-commerce,Cartão Crédito,SEM_CUPOM,30.44,Concluída
246,2025-09-27,1033,Online,E-commerce,Cartão Débito,PROMO10,28.05,Concluída
247,2025-05-14,678,Online,E-commerce,PIX,FRETEGRATIS,5.19,Concluída
248,2025-01-13,969,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
249,2025-12-31,936,Online,E-commerce,Boleto,PROMO10,15.53,Concluída
250,2025-06-21,667,Presencial,Loja 02 - Shopping,Dinheiro,SEM_CUPOM,0.0,Concluída
251,2025-03-05,723,Presencial,Loja 03 - Bairro,Boleto,SEM_CUPOM,0.0,Concluída
252,2025-03-28,756,Online,E-commerce,PIX,CLIENTEVIP,40.31,Concluída
253,2025-11-15,1016,Presencial,Loja 02 - Shopping,Boleto,SEM_CUPOM,0.0,Concluída
254,2025-05-08,1066,Online,E-commerce,PIX,SEM_CUPOM,43.98,Concluída
255,2025-04-19,675,Online,E-commerce,Cartão Crédito,FRETEGRATIS,23.7,Concluída
256,2025-07-07,529,Online,E-commerce,Cartão Débito,SEM_CUPOM,19.3,Concluída
257,2025-01-12,64,Presencial,Loja 01 - Centro,Cartão Crédito,PROMO10,0.0,Concluída
258,2025-08-04,1169,Presencial,Loja 02 - Shopping,Cartão Crédito,BLACK15,0.0,Concluída
259,2025-01-16,340,Online,E-commerce,Cartão Débito,FRETEGRATIS,38.09,Concluída
260,2025-11-17,652,Online,E-commerce,Boleto,SEM_CUPOM,43.13,Concluída
261,2025-06-14,1489,Presencial,Loja 03 - Bairro,PIX,BLACK15,0.0,Concluída
262,2025-03-25,1178,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
263,2025-06-24,519,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Concluída
264,2025-03-09,713,Online,E-commerce,PIX,PROMO10,46.21,Concluída
265,2025-05-03,488,Presencial,Loja 03 - Bairro,PIX,PROMO10,0.0,Concluída
266,2025-02-20,940,Online,E-commerce,PIX,FRETEGRATIS,52.71,Concluída
267,2025-09-14,230,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
268,2026-01-10,1429,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
269,2025-07-06,1481,Online,E-commerce,Dinheiro,SEM_CUPOM,37.95,Concluída
270,2025-02-07,448,Online,E-commerce,Boleto,SEM_CUPOM,24.63,Concluída
271,2025-01-29,346,Presencial,Loja 02 - Shopping,Cartão Crédito,PROMO10,0.0,Concluída
272,2025-11-16,809,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Devolvida
273,2025-05-14,971,Online,E-commerce,Cartão Débito,SEM_CUPOM,22.61,Concluída
274,2025-04-24,966,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Concluída
275,2025-02-09,64,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Devolvida
276,2025-09-12,1067,Online,E-commerce,Cartão Crédito,SEM_CUPOM,2.23,Concluída
277,2025-01-25,100,Presencial,Loja 03 - Bairro,Cartão Débito,FRETEGRATIS,0.0,Concluída
278,2025-12-14,513,Online,E-commerce,PIX,CLIENTEVIP,27.06,Concluída
279,2025-03-21,1076,Presencial,Loja 01 - Centro,Boleto,SEM_CUPOM,0.0,Concluída
