data,funcionario_id,status,horas_trabalhadas,horas_extras,remoto
2025-09-22,108,PRESENTE,7.27,0.66,0
2025-09-22,390,PRESENTE,8.07,0.31,0
2025-09-22,118,ATRASO,7.91,0.0,0
2025-09-22,487,PRESENTE,8.22,0.58,0
2025-09-22,288,PRESENTE,7.84,0.0,0
2025-09-22,504,PRESENTE,8.08,0.46,1
2025-09-22,32,ATESTADO,0.0,0.0,0
2025-09-22,23,PRESENTE,8.66,0.74,0
2025-09-22,422,PRESENTE,8.21,0.0,0
2025-09-22,76,PRESENTE,7.69,0.48,1
2025-09-22,561,PRESENTE,7.8,0.54,0
2025-09-22,596,PRESENTE,8.06,0.24,1
2025-09-22,597,PRESENTE,8.32,0.39,1
2025-09-22,217,PRESENTE,8.14,0.0,1
2025-09-22,207,ATESTADO,0.0,0.0,0
2025-09-22,145,PRESENTE,7.85,0.0,1
2025-09-22,373,ATESTADO,0.0,0.0,1
2025-09-22,35,ATESTADO,0.0,0.0,0
2025-09-22,574,PRESENTE,7.94,0.0,0
2025-09-22,438,PRESENTE,8.0,0.99,0
2025-09-22,71,PRESENTE,7.3,0.05,0
2025-09-22,40,ATESTADO,0.0,0.0,1
2025-09-22,617,FALTA,0.0,0.0,0
2025-09-22,140,PRESENTE,7.64,0.08,0
2025-09-22,551,FALTA,0.0,0.0,0
2025-09-22,488,PRESENTE,8.44,0.0,0
2025-09-22,346,PRESENTE,7.39,0.0,0
2025-09-22,266,PRESENTE,8.18,0.0,1
2025-09-22,167,PRESENTE,8.08,0.28,0
2025-09-22,7,PRESENTE,7.7,1.18,0
2025-09-22,382,PRESENTE,8.33,0.33,0
2025-09-22,592,ATESTADO,0.0,0.0,0
2025-09-22,393,PRESENTE,7.28,0.0,1
2025-09-22,275,ATRASO,6.64,0.0,1
2025-09-22,162,PRESENTE,8.48,0.51,0
2025-09-22,2,PRESENTE,7.56,0.14,0
2025-09-22,614,PRESENTE,7.67,0.49,0
2025-09-22,124,PRESENTE,8.2,1.76,0
2025-09-22,472,PRESENTE,8.14,0.09,1
2025-09-22,621,PRESENTE,7.68,0.34,0
2025-09-22,518,PRESENTE,8.69,0.81,0
2025-09-22,94,PRESENTE,8.62,0.42,0
2025-09-22,273,PRESENTE,8.06,0.17,0
2025-09-22,626,PRESENTE,7.83,0.0,0
2025-09-22,638,PRESENTE,7.95,0.73,1
2025-09-22,164,PRESENTE,8.34,0.0,1
2025-09-22,348,PRESENTE,8.17,0.0,1
2025-09-22,24,PRESENTE,8.27,0.33,0
2025-09-22,527,PRESENTE,7.69,0.0,0
2025-09-22,121,PRESENTE,8.21,0.41,0
2025-09-22,583,PRESENTE,8.26,0.75,1
2025-09-22,137,PRESENTE,7.99,1.09,0
2025-09-22,272,PRESENTE,8.49,0.8,0
2025-09-22,424,PRESENTE,8.33,0.0,0
2025-09-22,623,PRESENTE,8.17,0.35,0
2025-09-22,309,PRESENTE,8.32,0.0,0
2025-09-22,540,PRESENTE,7.72,0.9,1
2025-09-22,529,PRESENTE,8.45,0.45,0
2025-09-22,225,PRESENTE,9.0,0.94,1
2025-09-22,187,PRESENTE,7.54,0.33,1
2025-09-22,517,PRESENTE,8.07,0.29,0
2025-09-22,315,PRESENTE,7.7,0.54,0
2025-09-22,381,PRESENTE,8.45,0.43,1
2025-09-22,149,PRESENTE,7.59,1.33,0
2025-09-22,347,PRESENTE,8.33,0.07,0
2025-09-22,314,PRESENTE,7.16,0.71,0
2025-09-22,285,PRESENTE,8.49,1.0,1
2025-09-22,92,PRESENTE,8.18,0.87,0
2025-09-22,165,ATRASO,7.75,0.0,0
2025-09-22,408,PRESENTE,7.9,0.38,0
2025-09-22,500,PRESENTE,7.67,0.0,0
2025-09-22,211,PRESENTE,7.66,0.0,1
2025-09-22,307,PRESENTE,8.25,0.0,0
2025-09-22,641,PRESENTE,7.96,0.52,1
2025-09-22,77,PRESENTE,7.7,0.67,0
2025-09-22,231,FÉRIAS,0.0,0.0,0
2025-09-22,221,PRESENTE,8.01,0.0,0
2025-09-22,258,PRESENTE,7.57,0.8,1
2025-09-22,483,ATRASO,6.76,0.59,0
2025-09-22,648,PRESENTE,7.74,0.31,1
2025-09-22,499,PRESENTE,8.18,0.41,1
2025-09-22,622,PRESENTE,8.68,0.0,1
2025-09-22,131,PRESENTE,7.9,0.29,0
2025-09-22,362,PRESENTE,7.42,0.21,0
2025-09-22,78,PRESENTE,7.49,0.17,0
2025-09-22,206,PRESENTE,8.11,0.0,0
2025-09-22,74,PRESENTE,8.7,0.0,0
2025-09-22,214,PRESENTE,8.71,0.0,0
2025-09-22,20,FALTA,0.0,0.0,1
2025-09-22,31,PRESENTE,8.15,0.64,0
2025-09-22,479,PRESENTE,8.49,0.0,1
2025-09-22,27,PRESENTE,7.83,0.52,0
2025-09-22,93,PRESENTE,7.65,0.9,0
2025-09-22,64,PRESENTE,8.16,0.64,1
2025-09-22,469,FALTA,0.0,0.0,1
2025-09-22,260,PRESENTE,8.36,0.0,0
2025-09-22,566,PRESENTE,8.86,0.0,1
2025-09-22,441,ATESTADO,0.0,0.0,1
2025-09-22,202,PRESENTE,8.49,0.81,1
2025-09-22,122,PRESENTE,8.13,1.11,0
2025-09-22,100,ATESTADO,0.0,0.0,0
2025-09-22,89,PRESENTE,7.9,1.2,1
2025-09-22,600,PRESENTE,8.33,0.84,1
2025-09-22,95,ATESTADO,0.0,0.0,1
2025-09-22,150,PRESENTE,8.2,0.76,0
2025-09-22,416,PRESENTE,8.0,0.0,1
2025-09-22,106,PRESENTE,8.12,0.12,0
2025-09-22,426,PRESENTE,8.19,0.2,0
2025-09-22,394,PRESENTE,7.64,0.69,0
2025-09-22,116,PRESENTE,7.86,0.58,1
2025-09-22,629,PRESENTE,8.15,0.56,0
2025-09-22,417,FÉRIAS,0.0,0.0,0
2025-09-22,554,ATRASO,6.63,0.0,0
2025-09-22,213,PRESENTE,7.9,0.0,0
2025-09-22,59,PRESENTE,8.36,0.1,0
2025-09-22,280,PRESENTE,8.51,0.0,0
2025-09-22,525,PRESENTE,7.6,0.83,1
2025-09-22,331,PRESENTE,7.95,0.59,0
2025-09-22,311,PRESENTE,8.08,0.0,0
2025-09-22,179,PRESENTE,7.59,0.33,0
2025-09-22,161,ATESTADO,0.0,0.0,1
2025-09-22,8,PRESENTE,8.44,0.51,1
2025-09-22,44,PRESENTE,7.98,0.16,0
2025-09-22,522,PRESENTE,8.36,0.54,0
2025-09-22,28,PRESENTE,7.97,0.89,1
2025-09-22,63,PRESENTE,8.0,0.59,0
2025-09-22,437,PRESENTE,8.22,0.0,0
2025-09-22,425,PRESENTE,7.84,0.0,0
2025-09-22,252,PRESENTE,7.28,0.2,1
2025-09-22,293,ATESTADO,0.0,0.0,0
2025-09-22,291,ATESTADO,0.0,0.0,1
2025-09-22,368,PRESENTE,8.44,0.0,0
2025-09-22,431,PRESENTE,7.39,0.64,0
2025-09-22,460,PRESENTE,7.47,0.82,1
2025-09-22,358,ATRASO,6.93,0.02,1
2025-09-22,128,PRESENTE,7.67,0.0,1
2025-09-22,183,PRESENTE,7.99,0.0,0
2025-09-22,335,FÉRIAS,0.0,0.0,1
2025-09-22,16,ATESTADO,0.0,0.0,0
2025-09-22,253,PRESENTE,7.88,0.0,1
2025-09-22,327,PRESENTE,7.43,0.28,0
2025-09-22,587,PRESENTE,8.31,0.0,0
2025-09-22,447,ATESTADO,0.0,0.0,1
2025-09-22,380,PRESENTE,7.33,0.0,0
2025-09-22,492,FALTA,0.0,0.0,0
2025-09-22,465,PRESENTE,7.46,0.0,0
2025-09-22,507,PRESENTE,8.49,0.0,0
2025-09-22,98,PRESENTE,8.43,0.61,0
2025-09-22,411,PRESENTE,8.47,0.0,1
2025-09-22,180,PRESENTE,8.06,0.0,0
2025-09-22,502,FÉRIAS,0.0,0.0,0
2025-09-22,615,PRESENTE,7.75,0.0,0
2025-09-22,269,FALTA,0.0,0.0,0
2025-09-22,442,PRESENTE,7.75,0.43,0
2025-09-22,60,ATRASO,8.11,0.0,0
2025-09-22,287,PRESENTE,7.65,0.04,0
2025-09-22,261,PRESENTE,7.56,0.39,1
2025-09-22,30,PRESENTE,7.5,0.19,1
2025-09-22,558,PRESENTE,8.28,0.68,0
2025-09-22,163,PRESENTE,7.88,0.0,1
2025-09-22,210,PRESENTE,7.96,0.03,1
2025-09-22,153,PRESENTE,7.78,0.0,1
2025-09-22,14,FALTA,0.0,0.0,0
2025-09-22,570,PRESENTE,8.26,0.0,0
2025-09-22,627,PRESENTE,7.31,0.0,1
2025-09-22,495,PRESENTE,8.02,0.15,0
2025-09-22,255,PRESENTE,7.84,0.81,0
2025-09-22,630,PRESENTE,8.04,0.0,0
2025-09-22,232,FALTA,0.0,0.0,0
2025-09-22,237,PRESENTE,8.29,0.0,0
2025-09-22,300,PRESENTE,8.55,0.45,0
2025-09-22,532,PRESENTE,8.51,0.05,1
2025-09-22,526,PRESENTE,8.99,1.1,1
2025-09-22,83,PRESENTE,8.04,0.0,0
2025-09-22,355,PRESENTE,7.57,0.04,0
2025-09-22,547,ATRASO,6.91,0.47,0
2025-09-22,154,PRESENTE,8.21,0.89,0
2025-09-22,313,PRESENTE,7.95,0.0,1
2025-09-22,639,PRESENTE,8.09,0.41,0
2025-09-22,435,PRESENTE,7.7,0.4,0
2025-09-22,238,PRESENTE,7.95,0.43,0
2025-09-22,105,PRESENTE,7.62,0.88,0
2025-09-22,369,PRESENTE,7.25,0.36,0
2025-09-22,125,PRESENTE,8.6,0.93,1
2025-09-22,15,PRESENTE,8.04,0.0,0
2025-09-22,52,PRESENTE,8.1,0.0,0
2025-09-22,197,PRESENTE,8.59,0.46,1
2025-09-22,37,PRESENTE,7.96,0.7,1
2025-09-22,353,PRESENTE,7.83,0.58,0
2025-09-22,70,PRESENTE,7.37,0.0,0
2025-09-22,643,PRESENTE,7.61,0.0,0
2025-09-22,608,PRESENTE,7.73,0.54,0
2025-09-22,489,PRESENTE,7.96,0.05,1
2025-09-22,537,PRESENTE,7.28,0.0,1
2025-09-22,45,PRESENTE,7.12,0.93,0
2025-09-22,17,PRESENTE,8.51,0.07,1
2025-09-22,281,PRESENTE,8.37,1.23,1
2025-09-22,113,ATRASO,7.51,0.75,1
2025-09-22,107,PRESENTE,7.17,0.47,0
2025-09-22,357,PRESENTE,8.26,0.62,0
2025-09-22,317,PRESENTE,8.06,0.0,0
2025-09-22,310,ATRASO,7.22,0.12,0
2025-09-22,282,PRESENTE,8.23,0.69,0
2025-09-22,330,PRESENTE,7.83,0.37,1
2025-09-22,33,ATRASO,7.27,0.23,1
2025-09-22,383,PRESENTE,8.45,0.0,0
2025-09-22,493,PRESENTE,6.84,0.36,0
2025-09-22,135,FÉRIAS,0.0,0.0,0
2025-09-22,542,PRESENTE,7.94,0.0,0
2025-09-22,640,PRESENTE,8.51,0.62,0
2025-09-22,242,PRESENTE,7.44,0.0,0
2025-09-22,468,PRESENTE,7.84,0.14,0
2025-09-22,605,PRESENTE,8.33,1.24,1
2025-09-22,494,PRESENTE,7.65,0.0,0
2025-09-22,405,PRESENTE,8.15,0.87,0
2025-09-22,228,PRESENTE,7.85,0.39,0
2025-09-22,560,ATRASO,6.94,0.33,0
2025-09-22,456,PRESENTE,8.16,0.54,0
2025-09-22,604,PRESENTE,8.53,0.27,0
2025-09-22,366,PRESENTE,7.64,0.0,1
2025-09-22,127,PRESENTE,7.9,1.15,0
2025-09-22,397,PRESENTE,8.56,0.5,0
2025-09-22,650,PRESENTE,7.89,0.64,1
2025-09-22,251,PRESENTE,7.8,0.0,1
2025-09-22,208,PRESENTE,8.36,0.64,1
2025-09-22,389,PRESENTE,7.82,0.0,1
2025-09-22,549,PRESENTE,7.95,0.65,1
2025-09-22,342,PRESENTE,8.46,0.0,0
2025-09-22,420,PRESENTE,7.49,0.0,1
2025-09-22,521,PRESENTE,7.68,0.0,0
2025-09-22,647,PRESENTE,8.59,0.0,0
2025-09-22,569,ATRASO,6.18,0.3,0
2025-09-22,516,FÉRIAS,0.0,0.0,1
2025-09-22,186,PRESENTE,8.4,0.11,0
2025-09-22,160,ATRASO,7.88,0.39,0
2025-09-22,119,PRESENTE,7.98,1.17,0
2025-09-22,132,PRESENTE,8.38,0.78,0
2025-09-22,333,PRESENTE,8.54,0.0,1
2025-09-22,365,PRESENTE,8.15,0.73,0
2025-09-22,602,PRESENTE,8.14,0.21,0
2025-09-22,553,PRESENTE,8.44,0.0,0
2025-09-22,452,FÉRIAS,0.0,0.0,1
2025-09-22,536,ATRASO,6.12,0.33,0
2025-09-22,46,PRESENTE,8.8,0.0,0
2025-09-22,241,PRESENTE,7.9,0.0,0
2025-09-22,407,PRESENTE,7.48,0.2,1
2025-09-22,480,PRESENTE,7.87,1.41,1
2025-09-22,332,PRESENTE,7.39,1.41,0
2025-09-22,475,PRESENTE,7.22,0.16,0
2025-09-22,511,PRESENTE,7.97,0.32,0
2025-09-22,594,PRESENTE,8.02,0.57,0
2025-09-22,9,PRESENTE,7.73,0.38,0
2025-09-22,279,PRESENTE,8.24,0.0,0
2025-09-22,223,PRESENTE,8.17,0.0,0
2025-09-22,440,PRESENTE,7.46,0.92,0
2025-09-22,256,FÉRIAS,0.0,0.0,0
2025-09-22,81,PRESENTE,7.51,0.0,0
2025-09-22,301,PRESENTE,7.76,0.0,0
2025-09-22,264,PRESENTE,7.63,0.36,1
2025-09-22,68,PRESENTE,6.69,1.2,1
2025-09-22,246,PRESENTE,8.26,0.0,0
2025-09-22,618,PRESENTE,8.01,1.44,0
2025-09-22,257,PRESENTE,7.82,0.39,0
2025-09-22,356,PRESENTE,7.55,0.72,1
2025-09-22,130,FÉRIAS,0.0,0.0,1
2025-09-22,174,PRESENTE,8.5,0.4,1
2025-09-22,176,PRESENTE,8.68,0.65,0
2025-09-22,57,PRESENTE,7.77,0.55,0
2025-09-22,50,PRESENTE,7.75,0.74,0
2025-09-22,497,PRESENTE,8.79,0.0,1
2025-09-22,189,PRESENTE,7.67,0.3,0
2025-09-22,102,PRESENTE,8.06,0.55,0
2025-09-22,104,PRESENTE,8.24,0.0,0
2025-09-22,5,PRESENTE,7.4,1.17,0
2025-09-22,478,FALTA,0.0,0.0,1
2025-09-22,374,PRESENTE,7.37,0.59,0
2025-09-22,379,PRESENTE,8.18,0.65,1
2025-09-22,491,PRESENTE,7.54,0.0,0
2025-09-22,34,FÉRIAS,0.0,0.0,0
2025-09-22,224,PRESENTE,7.69,0.95,0
2025-09-22,415,PRESENTE,8.48,0.28,1
2025-09-22,524,PRESENTE,8.17,0.46,1
2025-09-22,565,PRESENTE,8.29,0.49,0
2025-09-22,619,ATRASO,7.57,0.0,0
2025-09-22,555,PRESENTE,7.82,0.33,0
2025-09-22,194,PRESENTE,7.48,0.53,1
2025-09-22,26,PRESENTE,7.72,0.0,1
2025-09-22,556,PRESENTE,7.87,0.44,1
2025-09-22,533,PRESENTE,8.63,1.07,0
2025-09-22,229,ATRASO,7.81,0.95,0
2025-09-22,80,PRESENTE,8.3,0.63,0
2025-09-22,88,PRESENTE,8.06,0.41,1
2025-09-22,607,PRESENTE,8.12,0.31,0
2025-09-22,446,PRESENTE,7.57,0.57,0
2025-09-22,240,PRESENTE,7.2,0.0,1
2025-09-22,299,PRESENTE,8.31,0.08,1
2025-09-22,248,PRESENTE,8.22,0.16,0
2025-09-22,245,PRESENTE,8.6,0.91,1
2025-09-22,191,PRESENTE,7.6,1.3,1
2025-09-22,169,PRESENTE,8.62,0.5,0
2025-09-22,476,PRESENTE,8.33,0.0,0
2025-09-22,351,PRESENTE,8.26,0.47,0
2025-09-22,175,PRESENTE,8.26,0.23,0
2025-09-22,109,ATESTADO,0.0,0.0,0
2025-09-22,267,FÉRIAS,0.0,0.0,0
2025-09-22,419,PRESENTE,7.64,1.28,0
2025-09-22,82,PRESENTE,7.71,0.12,1
2025-09-22,398,PRESENTE,7.59,0.86,0
2025-09-22,580,PRESENTE,7.87,0.91,0
2025-09-22,428,PRESENTE,8.11,0.51,0
2025-09-22,396,PRESENTE,7.6,0.39,1
2025-09-22,482,PRESENTE,7.94,0.57,0
2025-09-22,22,PRESENTE,8.11,0.65,0
2025-09-22,635,FALTA,0.0,0.0,0
2025-09-22,586,PRESENTE,7.67,0.22,1
2025-09-22,352,PRESENTE,8.22,0.0,1
2025-09-22,123,PRESENTE,8.18,0.0,0
2025-09-22,201,PRESENTE,7.57,0.3,1
2025-09-22,18,PRESENTE,7.86,0.25,0
2025-09-22,434,PRESENTE,8.19,0.47,0
2025-09-22,155,PRESENTE,7.57,0.44,0
2025-09-22,283,PRESENTE,8.32,0.61,0
2025-09-22,400,PRESENTE,8.04,0.6,0
2025-09-22,227,FÉRIAS,0.0,0.0,0
2025-09-22,29,PRESENTE,8.15,0.4,1
2025-09-22,349,PRESENTE,7.67,0.0,0
2025-09-22,413,PRESENTE,7.46,0.33,0
2025-09-22,321,PRESENTE,7.86,0.39,1
2025-09-22,277,PRESENTE,7.9,1.27,1
2025-09-22,178,PRESENTE,7.66,0.04,0
2025-09-22,515,PRESENTE,8.09,1.32,0
2025-09-22,377,PRESENTE,7.24,0.04,0
2025-09-22,139,PRESENTE,7.78,1.3,1
2025-09-22,363,FÉRIAS,0.0,0.0,0
2025-09-22,589,PRESENTE,7.87,0.0,0
2025-09-22,514,PRESENTE,8.05,0.72,0
2025-09-22,196,PRESENTE,8.3,0.38,0
2025-09-22,148,PRESENTE,8.5,0.0,0
2025-09-22,188,PRESENTE,8.01,0.0,0
2025-09-22,572,ATRASO,6.07,0.39,1
2025-09-22,12,FÉRIAS,0.0,0.0,0
2025-09-22,429,PRESENTE,7.63,1.13,0
2025-09-22,477,PRESENTE,8.61,0.75,0
2025-09-22,69,PRESENTE,7.88,0.0,0
2025-09-22,286,FALTA,0.0,0.0,0
2025-09-22,340,PRESENTE,7.63,0.35,1
2025-09-22,628,PRESENTE,7.86,0.0,0
2025-09-22,115,PRESENTE,7.98,0.0,1
2025-09-22,90,PRESENTE,7.57,0.09,0
2025-09-22,53,PRESENTE,8.42,0.0,0
2025-09-22,51,PRESENTE,7.95,0.49,0
2025-09-22,334,ATESTADO,0.0,0.0,1
2025-09-22,552,PRESENTE,7.57,0.0,0
2025-09-22,509,PRESENTE,7.98,0.0,0
2025-09-22,395,PRESENTE,8.32,0.04,1
2025-09-22,384,PRESENTE,8.03,0.0,0
2025-09-22,4,FÉRIAS,0.0,0.0,0
2025-09-22,412,PRESENTE,7.5,0.91,1
2025-09-22,209,PRESENTE,8.27,0.06,0
2025-09-22,143,PRESENTE,8.2,1.34,0
2025-09-22,436,PRESENTE,7.72,0.0,1
2025-09-22,204,PRESENTE,7.78,0.0,0
2025-09-22,268,PRESENTE,8.51,0.0,1
2025-09-22,613,ATESTADO,0.0,0.0,1
2025-09-22,341,PRESENTE,8.36,0.67,0
2025-09-22,61,PRESENTE,8.19,0.0,0
2025-09-22,448,PRESENTE,8.23,0.7,0
2025-09-22,470,ATESTADO,0.0,0.0,0
2025-09-22,54,PRESENTE,8.26,0.09,1
2025-09-22,528,PRESENTE,8.08,0.95,1
2025-09-22,6,PRESENTE,8.21,0.0,0
2025-09-22,439,PRESENTE,7.93,0.0,1
2025-09-22,421,PRESENTE,7.66,0.14,0
2025-09-22,290,PRESENTE,7.51,0.7,0
2025-09-22,344,PRESENTE,8.09,1.18,0
2025-09-22,606,PRESENTE,7.91,0.73,0
2025-09-22,370,PRESENTE,8.96,0.71,0
2025-09-22,462,PRESENTE,7.63,0.43,1
2025-09-22,99,PRESENTE,8.15,0.0,1
2025-09-22,450,PRESENTE,7.74,0.43,0
2025-09-22,464,PRESENTE,7.74,0.0,1
2025-09-22,111,PRESENTE,8.17,0.8,0
2025-09-22,545,PRESENTE,8.45,0.0,0
2025-09-22,239,PRESENTE,7.32,0.0,1
2025-09-22,473,FALTA,0.0,0.0,0
2025-09-22,250,ATESTADO,0.0,0.0,0
2025-09-22,336,PRESENTE,7.74,1.26,0
2025-09-22,182,PRESENTE,7.77,0.65,1
2025-09-22,195,PRESENTE,8.02,0.0,0
2025-09-22,13,PRESENTE,7.82,0.0,0
2025-09-22,646,PRESENTE,7.73,0.27,0
2025-09-22,25,PRESENTE,8.3,0.27,0
2025-09-22,133,FÉRIAS,0.0,0.0,0
2025-09-22,21,PRESENTE,7.74,0.62,1
2025-09-22,520,PRESENTE,8.36,0.0,1
2025-09-22,295,PRESENTE,7.83,0.61,0
2025-09-22,216,ATRASO,7.07,0.0,0
2025-09-22,458,PRESENTE,7.71,0.42,0
2025-09-22,576,PRESENTE,7.8,0.0,0
2025-09-22,601,PRESENTE,8.12,0.0,0
2025-09-22,72,PRESENTE,8.41,1.27,0
2025-09-22,205,PRESENTE,7.05,0.2,1
2025-09-22,404,PRESENTE,7.75,0.0,0
2025-09-22,611,PRESENTE,7.91,0.94,0
2025-09-22,159,PRESENTE,8.3,0.0,1
2025-09-22,289,PRESENTE,7.83,0.76,0
2025-09-22,75,PRESENTE,7.94,0.18,0
2025-09-22,645,PRESENTE,8.73,1.31,0
2025-09-22,200,PRESENTE,7.5,0.26,0
2025-09-22,636,PRESENTE,8.06,0.11,0
2025-09-22,47,PRESENTE,7.14,0.27,0
2025-09-22,577,PRESENTE,7.82,0.0,1
2025-09-22,312,PRESENTE,7.74,0.02,0
2025-09-22,43,PRESENTE,8.86,0.0,0
2025-09-22,325,PRESENTE,8.31,0.38,0
2025-09-22,546,PRESENTE,7.77,0.25,0
2025-09-22,304,PRESENTE,7.5,0.72,0
2025-09-22,278,ATRASO,6.76,0.1,0
2025-09-22,539,PRESENTE,7.82,0.0,0
2025-09-22,531,PRESENTE,9.05,0.0,0
2025-09-22,543,ATRASO,8.39,0.0,0
2025-09-22,454,PRESENTE,7.61,0.55,1
2025-09-22,403,FÉRIAS,0.0,0.0,0
2025-09-22,578,PRESENTE,8.47,1.09,0
2025-09-22,41,PRESENTE,7.89,0.0,1
2025-09-22,485,PRESENTE,8.92,0.29,1
2025-09-22,129,PRESENTE,7.41,0.88,0
2025-09-22,156,PRESENTE,7.69,0.8,0
2025-09-22,649,PRESENTE,7.12,0.63,0
2025-09-22,610,PRESENTE,7.51,0.1,1
2025-09-22,86,PRESENTE,8.53,0.64,0
2025-09-22,339,PRESENTE,8.02,0.52,0
2025-09-22,581,PRESENTE,8.5,1.15,0
2025-09-22,624,FÉRIAS,0.0,0.0,1
2025-09-22,19,PRESENTE,7.98,0.07,0
2025-09-22,360,PRESENTE,7.74,0.25,0
2025-09-22,1,PRESENTE,8.34,0.97,0
2025-09-22,338,PRESENTE,7.74,0.87,1
2025-09-22,67,PRESENTE,8.28,1.23,0
2025-09-22,263,PRESENTE,8.06,0.0,0
2025-09-22,84,PRESENTE,8.37,0.76,1
2025-09-22,296,PRESENTE,7.54,0.0,1
2025-09-22,409,FÉRIAS,0.0,0.0,1
2025-09-22,631,FÉRIAS,0.0,0.0,0
2025-09-22,170,FALTA,0.0,0.0,0
2025-09-22,584,PRESENTE,7.99,0.0,1
2025-09-22,392,PRESENTE,8.02,0.29,0
2025-09-22,361,PRESENTE,8.55,0.45,0
2025-09-22,359,PRESENTE,8.3,0.76,0
2025-09-22,467,PRESENTE,8.69,0.11,0
2025-09-22,226,PRESENTE,7.74,0.07,0
2025-09-22,305,PRESENTE,8.67,0.0,0
2025-09-22,218,PRESENTE,8.22,0.0,0
2025-09-22,138,PRESENTE,8.45,0.0,0
2025-09-22,152,PRESENTE,8.44,1.34,0
2025-09-22,534,PRESENTE,8.18,0.92,0
2025-09-22,544,PRESENTE,7.89,0.03,0
2025-09-22,112,PRESENTE,8.02,0.07,0
2025-09-22,212,PRESENTE,8.45,0.0,1
2025-09-22,168,PRESENTE,7.85,0.67,1
2025-09-22,198,PRESENTE,8.03,0.56,0
2025-09-22,87,PRESENTE,8.71,0.0,0
2025-09-22,56,PRESENTE,7.42,0.1,1
2025-09-22,633,PRESENTE,7.92,0.0,0
2025-09-22,146,ATESTADO,0.0,0.0,0
2025-09-22,535,PRESENTE,8.49,0.08,0
2025-09-22,306,PRESENTE,7.8,0.54,1
2025-09-22,568,PRESENTE,7.66,0.8,1
2025-09-22,101,PRESENTE,7.92,1.26,0
2025-09-22,243,PRESENTE,8.89,0.38,1
2025-09-22,236,PRESENTE,7.35,0.45,0
2025-09-22,512,PRESENTE,8.17,0.1,1
2025-09-22,220,PRESENTE,8.04,0.97,0
2025-09-22,326,PRESENTE,7.76,0.0,0
2025-09-22,582,PRESENTE,8.17,0.26,1
2025-09-22,443,FALTA,0.0,0.0,0
2025-09-22,386,PRESENTE,8.23,0.0,1
2025-09-22,172,PRESENTE,8.07,0.0,0
2025-09-22,585,PRESENTE,7.67,0.0,0
2025-09-22,354,PRESENTE,8.38,1.0,0
2025-09-23,21,PRESENTE,8.66,0.5,0
2025-09-23,319,PRESENTE,8.34,0.45,0
2025-09-23,20,PRESENTE,8.07,0.0,0
2025-09-23,649,PRESENTE,8.0,0.0,0
2025-09-23,555,PRESENTE,7.3,0.06,1
2025-09-23,504,PRESENTE,7.9,0.54,1
2025-09-23,544,PRESENTE,8.2,0.46,0
2025-09-23,548,PRESENTE,7.84,0.68,0
2025-09-23,83,FÉRIAS,0.0,0.0,0
2025-09-23,46,FALTA,0.0,0.0,0
2025-09-23,16,PRESENTE,7.87,0.54,0
2025-09-23,140,PRESENTE,7.57,0.0,0
2025-09-23,248,PRESENTE,7.83,0.52,0
2025-09-23,579,PRESENTE,8.28,0.0,0
2025-09-23,483,PRESENTE,8.41,0.26,0
2025-09-23,13,FÉRIAS,0.0,0.0,0
2025-09-23,561,PRESENTE,7.7,1.48,1
