item_id,venda_id,produto_id,quantidade,preco_unitario,desconto_unit,preco_liquido_unit,valor_total,uf_destino,cfop,cst_icms,aliq_icms,valor_icms,aliq_pis,valor_pis,aliq_cofins,valor_cofins,custo_total,lucro_bruto
102,25,38,2.0,318.54,41.97,276.57,553.14,SP,5102,40,0.18,99.57,0.0165,9.13,0.076,42.04,469.36,83.78
103,26,170,1.0,333.53,5.67,327.86,327.86,CE,6102,00,0.18,59.01,0.0165,5.41,0.076,24.92,239.73,88.13
104,27,155,-1.0,5021.67,674.66,4347.01,-4347.01,MS,6102,00,0.17,-738.99,0.0165,-71.73,0.076,-330.37,-3305.91,-1041.1
105,28,9,2.0,3924.22,130.23,3793.99,7587.98,SC,6102,00,0.17,1289.96,0.0165,125.2,0.076,576.69,6469.78,1118.2
106,28,71,1.0,4242.36,615.74,3626.62,3626.62,SC,6102,00,0.17,616.53,0.0165,59.84,0.076,275.62,3696.21,-69.59
107,29,99,1.0,3767.91,383.45,3384.46,3384.46,PA,6102,00,0.17,575.36,0.0165,55.84,0.076,257.22,2942.97,441.49
108,30,245,0.0,2154.01,264.71,1889.3,0.0,GO,6102,00,0.17,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
109,30,218,0.0,1152.98,128.16,1024.82,0.0,GO,6102,40,0.17,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
110,30,258,0.0,2485.08,146.1,2338.98,0.0,GO,6102,00,0.17,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
111,31,65,2.0,794.95,128.37,666.58,1333.16,ES,6102,60,0.17,226.64,0.0165,22.0,0.076,101.32,1208.68,124.48
112,31,262,1.0,6105.61,1068.37,5037.24,5037.24,ES,5102,00,0.17,856.33,0.0165,83.11,0.076,382.83,4750.97,286.27
113,31,210,1.0,810.11,97.08,713.03,713.03,ES,5102,00,0.17,121.22,0.0165,11.76,0.076,54.19,639.92,73.11
114,31,15,3.0,457.07,18.08,438.99,1316.97,ES,5102,00,0.17,223.88,0.0165,21.73,0.076,100.09,861.87,455.1
115,31,166,4.0,257.36,16.19,241.17,964.68,ES,5102,20,0.17,164.0,0.0165,15.92,0.076,73.32,853.16,111.52
116,32,79,1.0,1994.52,7.5,1987.02,1987.02,MT,6102,00,0.17,337.79,0.0165,32.79,0.076,151.01,1796.03,190.99
117,32,274,1.0,601.58,49.03,552.55,552.55,MT,6102,00,0.17,93.93,0.0165,9.12,0.076,41.99,533.3,19.25
118,32,133,2.0,1796.49,268.25,1528.24,3056.48,MT,6102,00,0.17,519.6,0.0165,50.43,0.076,232.29,2738.64,317.84
119,32,150,1.0,4040.91,474.74,3566.17,3566.17,MT,6102,60,0.17,606.25,0.0165,58.84,0.076,271.03,2908.37,657.8
120,32,282,2.0,4377.03,222.03,4155.0,8310.0,MT,6102,00,0.17,1412.7,0.0165,137.12,0.076,631.56,7077.06,1232.94
121,33,91,1.0,2215.69,4.94,2210.75,2210.75,PE,6102,00,0.18,397.94,0.0165,36.48,0.076,168.02,1808.8,401.95
122,33,187,1.0,723.63,38.73,684.9,684.9,PE,6102,00,0.18,123.28,0.0165,11.3,0.076,52.05,630.91,53.99
123,33,263,2.0,8089.44,98.95,7990.49,15980.98,PE,6102,00,0.18,2876.58,0.0165,263.69,0.076,1214.55,9696.72,6284.26
124,34,171,1.0,4443.55,595.34,3848.21,3848.21,ES,5102,00,0.17,654.2,0.0165,63.5,0.076,292.46,2806.34,1041.87
125,34,144,1.0,2149.33,361.07,1788.26,1788.26,ES,5102,00,0.17,304.0,0.0165,29.51,0.076,135.91,1446.28,341.98
126,34,92,2.0,170.26,52.17,118.09,236.18,ES,6102,00,0.17,40.15,0.0165,3.9,0.076,17.95,269.74,-33.56
127,35,87,2.0,467.27,27.28,439.99,879.98,AM,6102,60,0.18,158.4,0.0165,14.52,0.076,66.88,592.76,287.22
128,35,251,2.0,1488.45,168.41,1320.04,2640.08,AM,6102,00,0.18,475.21,0.0165,43.56,0.076,200.65,2406.12,233.96
129,35,125,2.0,3251.61,64.37,3187.24,6374.48,AM,6102,00,0.18,1147.41,0.0165,105.18,0.076,484.46,4903.82,1470.66
130,36,100,3.0,348.39,44.35,304.04,912.12,SP,5102,00,0.18,164.18,0.0165,15.05,0.076,69.32,773.85,138.27
131,36,133,2.0,1784.83,167.59,1617.24,3234.48,SP,6102,00,0.18,582.21,0.0165,53.37,0.076,245.82,2738.64,495.84
132,36,19,2.0,2092.9,369.85,1723.05,3446.1,SP,6102,00,0.18,620.3,0.0165,56.86,0.076,261.9,3975.68,-529.58
133,36,67,2.0,1400.43,25.57,1374.86,2749.72,SP,5102,60,0.18,494.95,0.0165,45.37,0.076,208.98,2522.02,227.7
134,36,272,1.0,3603.35,49.4,3553.95,3553.95,SP,5102,40,0.18,639.71,0.0165,58.64,0.076,270.1,2751.68,802.27
135,37,240,1.0,1789.67,43.06,1746.61,1746.61,ES,6102,00,0.17,296.92,0.0165,28.82,0.076,132.74,1474.56,272.05
136,37,269,1.0,5393.88,491.02,4902.86,4902.86,ES,5102,20,0.17,833.49,0.0165,80.9,0.076,372.62,3964.38,938.48
137,38,247,1.0,953.03,100.28,852.75,852.75,DF,6102,00,0.18,153.5,0.0165,14.07,0.076,64.81,627.06,225.69
138,39,12,1.0,619.85,48.12,571.73,571.73,MS,6102,00,0.17,97.19,0.0165,9.43,0.076,43.45,429.86,141.87
139,39,134,2.0,3633.33,392.65,3240.68,6481.36,MS,6102,00,0.17,1101.83,0.0165,106.94,0.076,492.58,6690.06,-208.7
140,39,40,1.0,167.9,24.83,143.07,143.07,MS,6102,00,0.17,24.32,0.0165,2.36,0.076,10.87,122.5,20.57
141,39,6,4.0,134.68,21.19,113.49,453.96,MS,6102,00,0.17,77.17,0.0165,7.49,0.076,34.5,452.52,1.44
142,39,73,1.0,4020.98,114.4,3906.58,3906.58,MS,6102,20,0.17,664.12,0.0165,64.46,0.076,296.9,2673.38,1233.2
143,40,31,2.0,3264.37,246.21,3018.16,6036.32,PE,6102,60,0.18,1086.54,0.0165,99.6,0.076,458.76,5079.4,956.92
144,40,271,1.0,1941.6,35.29,1906.31,1906.31,PE,6102,20,0.18,343.14,0.0165,31.45,0.076,144.88,1574.03,332.28
145,40,153,1.0,2521.41,155.58,2365.83,2365.83,PE,6102,00,0.18,425.85,0.0165,39.04,0.076,179.8,2361.37,4.46
146,40,282,2.0,4864.01,592.79,4271.22,8542.44,PE,6102,00,0.18,1537.64,0.0165,140.95,0.076,649.23,7077.06,1465.38
147,41,79,2.0,2061.05,182.8,1878.25,3756.5,CE,6102,20,0.18,676.17,0.0165,61.98,0.076,285.49,3592.06,164.44
148,42,152,1.0,1378.37,19.79,1358.58,1358.58,PE,6102,00,0.18,244.54,0.0165,22.42,0.076,103.25,968.81,389.77
149,42,100,1.0,317.28,10.22,307.06,307.06,PE,6102,60,0.18,55.27,0.0165,5.07,0.076,23.34,257.95,49.11
150,42,154,2.0,1444.39,162.06,1282.33,2564.66,PE,6102,00,0.18,461.64,0.0165,42.32,0.076,194.91,1889.36,675.3
151,42,160,1.0,4874.55,155.13,4719.42,4719.42,PE,6102,00,0.18,849.5,0.0165,77.87,0.076,358.68,4735.02,-15.6
152,43,14,2.0,1352.14,179.06,1173.08,2346.16,MG,5102,00,0.18,422.31,0.0165,38.71,0.076,178.31,2364.16,-18.0
153,43,199,2.0,2273.53,334.33,1939.2,3878.4,MG,5102,20,0.18,698.11,0.0165,63.99,0.076,294.76,3940.64,-62.24
154,43,63,2.0,2082.58,117.58,1965.0,3930.0,MG,5102,60,0.18,707.4,0.0165,64.84,0.076,298.68,2731.28,1198.72
155,44,57,0.0,930.3,141.26,789.04,0.0,PE,6102,00,0.18,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
156,44,299,0.0,6078.3,261.3,5817.0,0.0,PE,6102,00,0.18,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
157,44,207,0.0,4892.57,751.81,4140.76,0.0,PE,6102,00,0.18,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
158,44,29,0.0,3686.07,373.72,3312.35,0.0,PE,6102,40,0.18,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
159,44,33,0.0,6245.04,119.45,6125.59,0.0,PE,6102,40,0.0,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
160,44,24,0.0,1153.02,186.41,966.61,0.0,PE,6102,00,0.18,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
161,45,170,4.0,321.27,23.14,298.13,1192.52,GO,6102,00,0.17,202.73,0.0165,19.68,0.076,90.63,958.92,233.6
162,45,203,2.0,299.85,0.1,299.75,599.5,GO,6102,00,0.17,101.92,0.0165,9.89,0.076,45.56,471.7,127.8
163,45,201,1.0,1991.73,136.16,1855.57,1855.57,GO,6102,00,0.17,315.45,0.0165,30.62,0.076,141.02,1606.56,249.01
164,45,2,4.0,822.07,63.8,758.27,3033.08,GO,6102,00,0.17,515.62,0.0165,50.05,0.076,230.51,2470.44,562.64
165,45,88,3.0,478.44,110.97,367.47,1102.41,GO,6102,00,0.17,187.41,0.0165,18.19,0.076,83.78,1219.05,-116.64
166,46,56,1.0,2644.49,159.19,2485.3,2485.3,PA,6102,40,0.17,422.5,0.0165,41.01,0.076,188.88,1782.56,702.74
167,46,251,2.0,1583.88,220.4,1363.48,2726.96,PA,6102,00,0.17,463.58,0.0165,44.99,0.076,207.25,2406.12,320.84
168,46,44,1.0,2645.98,472.52,2173.46,2173.46,PA,6102,60,0.17,369.49,0.0165,35.86,0.076,165.18,1988.99,184.47
169,47,237,2.0,353.79,16.56,337.23,674.46,RJ,5102,60,0.2,134.89,0.0165,11.13,0.076,51.26,592.0,82.46
170,47,73,2.0,3402.35,8.91,3393.44,6786.88,RJ,6102,60,0.2,1357.38,0.0165,111.98,0.076,515.8,5346.76,1440.12
171,47,265,2.0,1151.06,166.85,984.21,1968.42,RJ,6102,00,0.2,393.68,0.0165,32.48,0.076,149.6,1999.8,-31.38
172,47,96,2.0,1450.21,111.9,1338.31,2676.62,RJ,5102,60,0.2,535.32,0.0165,44.16,0.076,203.42,2340.3,336.32
173,47,103,2.0,7199.01,712.36,6486.65,12973.3,RJ,6102,40,0.2,2594.66,0.0165,214.06,0.076,985.97,10537.42,2435.88
174,47,162,3.0,357.66,39.25,318.41,955.23,RJ,5102,00,0.2,191.05,0.0165,15.76,0.076,72.6,859.17,96.06
175,48,280,1.0,3689.29,248.74,3440.55,3440.55,GO,6102,00,0.17,584.89,0.0165,56.77,0.076,261.48,2740.3,700.25
176,48,135,2.0,1799.27,283.94,1515.33,3030.66,GO,6102,00,0.17,515.21,0.0165,50.01,0.076,230.33,2896.98,133.68
177,48,146,1.0,7044.56,1046.17,5998.39,5998.39,GO,6102,00,0.17,1019.73,0.0165,98.97,0.076,455.88,5339.17,659.22
178,48,116,2.0,4927.44,745.22,4182.22,8364.44,GO,6102,20,0.17,1421.95,0.0165,138.01,0.076,635.7,8791.3,-426.86
179,48,94,3.0,103.29,7.07,96.22,288.66,GO,6102,00,0.17,49.07,0.0165,4.76,0.076,21.94,214.2,74.46
180,49,296,4.0,638.88,91.02,547.86,2191.44,DF,6102,00,0.18,394.46,0.0165,36.16,0.076,166.55,1825.12,366.32
181,49,187,4.0,666.26,79.4,586.86,2347.44,DF,6102,00,0.18,422.54,0.0165,38.73,0.076,178.41,2523.64,-176.2
182,50,291,1.0,5467.87,122.69,5345.18,5345.18,SP,5102,60,0.18,962.13,0.0165,88.2,0.076,406.23,4583.16,762.02
183,50,266,2.0,1980.06,118.44,1861.62,3723.24,SP,6102,00,0.18,670.18,0.0165,61.43,0.076,282.97,3501.38,221.86
184,50,130,2.0,1502.16,109.89,1392.27,2784.54,SP,5102,40,0.18,501.22,0.0165,45.94,0.076,211.63,2208.32,576.22
185,50,267,2.0,2558.12,667.63,1890.49,3780.98,SP,6102,00,0.18,680.58,0.0165,62.39,0.076,287.35,3581.68,199.3
186,51,39,2.0,8081.88,560.5,7521.38,15042.76,AM,6102,00,0.18,2707.7,0.0165,248.21,0.076,1143.25,12194.46,2848.3
187,51,73,2.0,3934.55,395.34,3539.21,7078.42,AM,6102,00,0.18,1274.12,0.0165,116.79,0.076,537.96,5346.76,1731.66
188,51,139,2.0,6223.11,985.28,5237.83,10475.66,AM,6102,00,0.18,1885.62,0.0165,172.85,0.076,796.15,8415.42,2060.24
189,51,46,1.0,1869.36,271.01,1598.35,1598.35,AM,6102,00,0.18,287.7,0.0165,26.37,0.076,121.47,1564.91,33.44
190,52,5,0.0,5095.91,289.85,4806.06,0.0,RJ,5102,00,0.2,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
191,52,135,0.0,1796.91,63.06,1733.85,0.0,RJ,6102,20,0.2,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
192,52,20,0.0,1169.58,170.25,999.33,0.0,RJ,5102,40,0.2,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
193,52,282,0.0,4460.61,267.62,4192.99,0.0,RJ,5102,00,0.2,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
194,52,161,0.0,1733.87,176.22,1557.65,0.0,RJ,6102,40,0.2,0.0,0.0165,0.0,0.076,0.0,0.0,0.0
195,53,290,1.0,4043.3,144.07,3899.23,3899.23,SP,6102,00,0.18,701.86,0.0165,64.34,0.076,296.34,3769.63,129.6
